SIGUN_NM,SIGUN_CD,STATION_NM_INFO,STATION_ID,STATION_MANAGE_NO,STATION_DIV_NM,JURISD_INST_NM,LOCPLC_LOC,ENG_STATION_NM_INFO,WGS84_LOGT,WGS84_LAT
수원시,41110,율현중학교,200000234,3158,노변정류장,경기도 수원시,경기도 수원시 팔달구 화서동,Yulhyeon Middle School,126.9807667,37.2855667
수원시,41110,우만동4단지,202000053,3088,노변정류장,경기도 수원시,경기도 수원시 팔달구 우만동,Uman-dong 4-danji,127.0308833,37.2922167
수원시,41110,경기남부지방경찰청.봉녕사입구,203000001,1257,노변정류장,경기도 수원시,,"Gyeonggi Nambu Provincial Police Agency, Bongnyeongsa",127.0343167,37.2936833
수원시,41110,우만주공4단지,200000197,1256,노변정류장,경기도 수원시,,Wooman Jugong Apartment 3 & 4-danji,127.0303667,37.29245
수원시,41110,현대모닝아파트,200000233,3157,노변정류장,경기도 수원시,경기도 수원시 팔달구 화서동,Hyundai Morning Apartment ,126.9848167,37.2864667
가평군,41820,눈썰매장,239000187,44055,노변정류장,경기도 가평군,경기도 가평군 상면,Sledding Slope ,127.4030833,37.7576
가평군,41820,비둘기산장,239000184,44070,노변정류장,경기도 가평군,경기도 가평군 상면,Bidulgi Lodge,127.4148,37.7558167
가평군,41820,청평터미널,239000738,44702,노변정류장,경기도 가평군,경기도 가평군 청평면,Cheongpyeong Terminal ,127.4206833,37.73825
가평군,41820,윗소돌말,239000223,44059,노변정류장,경기도 가평군,경기도 가평군 청평면,Witsodolmal,127.4067167,37.7263
부천시,41190,금강맨션,210000311,11372,노변정류장,경기도 부천시,,Geumgang Mansion ,126.79965,37.4838667
파주시,41480,법원리사거리,229000240,30581,노변정류장,경기도 파주시,경기도 파주시 법원읍,Beobwon-ri Sageori ,126.8723833,37.8493667
연천군,41800,삼화리3반,238000350,43047,노변정류장,경기도 연천군,경기도 연천군 미산면,Samhwa-ri 3-ban,126.97895,38.0193167
안산시,41270,신길초등학교,217000673,18632,노변정류장,경기도 안산시,경기도 안산시 단원구 신길동,Singil Elementary School,126.7814167,37.3356667
화성시,41590,모아미래도.우림필유(중),233001285,36686,중앙차로 정류장,경기도 화성시,경기도 화성시 능동,"Moamiraedo, ",127.0581833,37.1994833
화성시,41590,서해.쌍용아파트,233001450,36680,노변정류장,경기도 화성시,경기도 화성시 반송동,"Seohae, Ssangyong Apartment",127.0696333,37.1958167
화성시,41590,월드반도,233001448,36678,노변정류장,경기도 화성시,경기도 화성시 반송동,World Bando,127.0765167,37.1908
화성시,41590,동탄국제고등학교,233001447,36676,노변정류장,경기도 화성시,경기도 화성시 반송동,Dongtan Global High School ,127.0794667,37.1890167
안산시,41270,신광교회,217000566,18481,노변정류장,경기도 안산시,경기도 안산시 단원구 고잔동,Singwang Church ,126.8416833,37.3134667
안산시,41270,상록구청.상록수보건소,216000331,17325,노변정류장,경기도 안산시,경기도 안산시 상록구 사동,"Sangnok-gu Office, Sangnoksu Public Health Center",126.8453333,37.3018333
안산시,41270,상록구청.상록수보건소,216000332,17324,노변정류장,경기도 안산시,경기도 안산시 상록구 사동,"Sangnok-gu Office, Sangnoksu Public Health Center",126.84525,37.3016667
파주시,41480,문산제일고삼거리,229000738,30710,노변정류장,경기도 파주시,경기도 파주시 야동동,Munsan Jeil High School Samgeori,126.7635833,37.7692833
가평군,41820,큰골,239000517,44110,노변정류장,경기도 가평군,경기도 가평군 설악면,Keungol,127.4571333,37.70045
가평군,41820,삼밭골,239000389,44116,노변정류장,경기도 가평군,경기도 가평군 설악면,Sambatgol,127.4644167,37.68735
가평군,41820,탐선리,239000539,44121,노변정류장,경기도 가평군,경기도 가평군 설악면,Tamseon-ri,127.4794167,37.6764667
가평군,41820,설악터미널,239000374,44126,노변정류장,경기도 가평군,경기도 가평군 설악면,Seorak Terminal ,127.48875,37.6776333
가평군,41820,대성리,239000735,44706,노변정류장,경기도 가평군,경기도 가평군 청평면,Daeseong-ri,127.37575,37.6806333
가평군,41820,대성리,239000736,44705,노변정류장,경기도 가평군,경기도 가평군 청평면,Daeseong-ri,127.3758667,37.6807
가평군,41820,중앙기도원,239000221,44049,노변정류장,경기도 가평군,경기도 가평군 청평면,Jungang Prayer's House ,127.3938167,37.70915
가평군,41820,원대성리,239000220,44041,노변정류장,경기도 가평군,경기도 가평군 청평면,Wondaeseong-ri,127.3836333,37.6967167
가평군,41820,숙골,239000839,44811,노변정류장,경기도 가평군,경기도 가평군 설악면,Sukgol,127.48185,37.6531333
가평군,41820,대성리MT장,239000216,44033,노변정류장,경기도 가평군,경기도 가평군 청평면,Daeseong-ri MT zone,127.3779333,37.6813333
가평군,41820,원대성리,239000507,44042,노변정류장,경기도 가평군,경기도 가평군 청평면,Wondaeseong-ri,127.3838667,37.6965833
가평군,41820,농협,239000528,44074,노변정류장,경기도 가평군,경기도 가평군 청평면,Nonghyup,127.4178333,37.7367167
안성시,41550,극락,231000426,33297,노변정류장,경기도 안성시,경기도 안성시 죽산면,Geukrak,127.4145167,37.0203167
안성시,41550,칠장사입구,231000422,33312,노변정류장,경기도 안성시,경기도 안성시 죽산면,Chiljangsa,127.4246167,37.0372833
안성시,41550,죽산삼거리,231000843,33299,노변정류장,경기도 안성시,경기도 안성시 죽산면,Juksan Samgeori,127.4144167,37.072
안성시,41550,동광아파트,231000230,33146,노변정류장,경기도 안성시,경기도 안성시 서운면,Dongwang Apartment ,127.2680167,36.9798333
안성시,41550,산돌교회,231000769,34228,노변정류장,경기도 안성시,경기도 안성시 서운면,Sandol Church,127.2579,36.9484833
안성시,41550,방아동,231000226,34247,노변정류장,경기도 안성시,경기도 안성시 서운면,Banga-dong,127.2605,36.93925
안성시,41550,산평리노인회관,231000223,34250,노변정류장,경기도 안성시,경기도 안성시 서운면,Sanpyeong-ri Seniors Community Center,127.2611667,36.9173667
