연번,위도,경도,보호구역아이디,시도명,시군구명,대상시설명,관할경찰서명,데이터기준일자,이미지명,비고
"104",37.3378240000,127.1163240000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-01.jpeg,""
"105",37.3394530000,127.1159410000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-02.jpeg,""
"106",37.3380890000,127.1149230000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-03.jpeg,""
"107",37.3378560000,127.1159550000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-04.jpeg,""
"108",37.3379770000,127.1164810000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-05.jpeg,""
"109",37.3380980000,127.1172620000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-06.jpeg,""
"110",37.3381010000,127.1184950000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-07.jpeg,""
"111",37.3384830000,127.1198840000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-08.jpeg,""
"112",37.3377490000,127.1189590000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-09.jpeg,""
"113",37.3377490000,127.1191310000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-10.jpeg,""
"114",37.3374970000,127.1189640000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-11.jpeg,""
"115",37.3373940000,127.1189570000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-12.jpeg,""
"116",37.3373310000,127.1191340000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-13.jpeg,""
"117",37.3370910000,127.1191250000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-14.jpeg,""
"118",37.3367910000,127.1188480000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-15.jpeg,""
"119",37.3364360000,127.1185890000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-16.jpeg,""
"120",37.3363770000,127.1187590000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-17.jpeg,""
"121",37.3365930000,127.1189150000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-18.jpeg,""
"122",37.3362020000,127.1185680000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-19.jpeg,""
"123",37.3361030000,127.1181130000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-A-20.jpeg,""
