image,p_wide,p_narrow,p_barrier_yes,p_barrier_no
경기도_성남시_수정구_태평동(탄리사거리_부근)_01.png,0.0024561286,0.9976238,0.0046203136,0.99546725
경기도_성남시_수정구_태평동(태평고가사거리_부근)_01.png,0.0021634996,0.99790287,0.008225441,0.99166536
경기도_성남시_수정구_태평동(태평오거리_부근)_01.png,0.00039237738,0.9996191,0.0031274855,0.99673474
경기도_성남시_수정구_태평동(태평초교_부근)_01.png,0.05423379,0.946442,0.017317891,0.9829832
경기도_성남시_수정구_태평동(한전_사거리_부근)_01.png,0.9870361,0.013289183,0.47738388,0.52692765
경기도_성남시_수정구_태평동(한전_사거리_부근)_02.png,0.98937714,0.010869801,0.586426,0.4175849
경기도_성남시_중원구_금광동(금광카센타_부근)_01.png,0.29899323,0.7004111,0.15880743,0.8394416
경기도_성남시_중원구_금광동(썬빌라_부근)_01.png,0.96288955,0.037837386,0.8037862,0.19449171
경기도_성남시_중원구_금광동(우리치과의원_부근)_01.png,0.11305788,0.8874756,0.01919207,0.98018813
경기도_성남시_중원구_상대원동(상대원2동_주민센터_부근)_01.png,0.92226934,0.078770846,0.5906216,0.40828452
경기도_성남시_중원구_상대원동(상대원시장앞_부근)_01.png,0.99078834,0.009217769,0.58955145,0.4068415
경기도_성남시_중원구_상대원동(우리집부동산_부근)_01.png,0.26082873,0.7448862,0.012058139,0.98817426
경기도_성남시_중원구_은행동(상대원시장앞_부근)_01.png,0.908936,0.0916577,0.85985184,0.14317375
경기도_성남시_중원구_은행동(중부초교_부근)_01.png,0.81698865,0.17852423,0.73929214,0.25771582
경기도_성남시_중원구_하대원동(피노키오음악학원_부근)_01.png,0.6022907,0.399799,0.44867772,0.5536148
경기도_수원시_권선구_고색동(호매실초교_부근)_01.png,0.9910039,0.008939385,0.84926444,0.15317121
경기도_수원시_권선구_권선동(곡선초교_부근)_01.png,0.16226289,0.83819556,0.19917333,0.79937726
경기도_수원시_권선구_권선동(권선초교_부근)_01.png,0.23941463,0.7593552,0.08156392,0.9165237
경기도_수원시_권선구_권선동(재간령어린이공원_부근)_01.png,0.68898535,0.31367218,0.075208455,0.9241466
경기도_수원시_권선구_권선동(진성건업(주)_부근)_01.png,0.9601598,0.04127893,0.38296512,0.61393535
경기도_수원시_권선구_권선동(태장면고개사거리_부근)_01.png,0.5184937,0.48368323,0.41914162,0.57788354
경기도_수원시_권선구_세류동(신곡초교_부근)_01.png,0.107435405,0.89309466,0.032191455,0.9672526
경기도_수원시_권선구_탑동(참산부인과_부근)_01.png,0.39948606,0.59930825,0.17760864,0.8240653
경기도_수원시_권선구_호매실동(호매실초교_부근)_01.png,0.9723842,0.028187484,0.88455963,0.11739236
경기도_수원시_영통구_망포동(태장초교_부근)_01.png,0.9838779,0.01606229,0.60161966,0.40130258
경기도_수원시_영통구_매탄동(동원컴퓨터게임장_부근)_01.png,0.8892263,0.109473765,0.80698436,0.19542041
경기도_수원시_영통구_매탄동(매탄초교_효동초교_부근)_01.png,0.24200147,0.76226866,0.10348466,0.89915514
경기도_수원시_영통구_매탄동(신매탄사거리_부근)_01.png,0.9091396,0.09175748,0.5316682,0.46730906
