연번,위도,경도,보호구역아이디,시도명,시군구명,대상시설명,관할경찰서명,데이터기준일자,이미지명,비고
"105",37.3723540000,127.1219940000,성남-01-007,경기도,성남시 분당구,내정초등학교,분당경찰서,"2022-08-29",성남-01-007-C-03.jpeg,""
"106",37.3721190000,127.1222360000,성남-01-007,경기도,성남시 분당구,내정초등학교,분당경찰서,"2022-08-29",성남-01-007-C-04.jpeg,""
"107",37.3736490000,127.1220440000,성남-01-007,경기도,성남시 분당구,내정초등학교,분당경찰서,"2022-08-29",성남-01-007-C-05.jpeg,""
"108",37.3729770000,127.1230650000,성남-01-007,경기도,성남시 분당구,내정초등학교,분당경찰서,"2022-08-29",성남-01-007-C-06.jpeg,""
"109",37.4085450000,127.1292270000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-C-01.jpeg,""
"110",37.4095090000,127.1294970000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-C-02.jpeg,""
"111",37.4097250000,127.1300450000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-C-03.jpeg,""
"112",37.4096650000,127.1307280000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-C-04.jpeg,""
"113",37.4098340000,127.1313580000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-C-05.jpeg,""
"114",37.4097320000,127.1320020000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-C-06.jpeg,""
"115",37.4096750000,127.1323690000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-C-07.jpeg,""
"116",37.4096060000,127.1311690000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-C-08.jpeg,""
"117",37.3502630000,127.1158240000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-C-01.jpeg,""
"118",37.3493460000,127.1159110000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-C-02.jpeg,""
"119",37.3482420000,127.1159140000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-C-03.jpeg,""
"120",37.3471360000,127.1159180000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-C-04.jpeg,""
"121",37.3467530000,127.1162760000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-C-05.jpeg,""
"122",37.3479810000,127.1162750000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-C-06.jpeg,""
"123",37.3492410000,127.1162720000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-C-07.jpeg,""
"124",37.3499090000,127.1159060000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-C-08.jpeg,""
"125",37.3466270000,127.1183550000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-C-09.jpeg,""
"126",37.3466260000,127.1189060000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-C-10.jpeg,""
"127",37.3463930000,127.1184650000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-C-11.jpeg,""
"128",37.3463870000,127.1171110000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-C-12.jpeg,""
"129",37.3462650000,127.1149070000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-C-13.jpeg,""
"130",37.3690570000,127.1117150000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-C-01.jpeg,""
"131",37.3712090000,127.1116480000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-C-02.jpeg,""
"132",37.3713480000,127.1119410000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-C-03.jpeg,""
"133",37.3712940000,127.1117050000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-C-04.jpeg,""
"134",37.3718390000,127.1122890000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-C-05.jpeg,""
"135",37.3719210000,127.1120990000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-C-06.jpeg,""
"136",37.3720590000,127.1122360000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-C-07.jpeg,""
"137",37.3721450000,127.1123660000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-C-08.jpeg,""
"138",37.3732110000,127.1138750000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-C-09.jpeg,""
"139",37.3739780000,127.1127020000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-C-10.jpeg,""
"140",37.3730650000,127.1114420000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-C-11.jpeg,""
"141",37.3727540000,127.1110010000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-C-12.jpeg,""
"142",37.3724310000,127.1108640000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-C-13.jpeg,""
"143",37.3722510000,127.1106130000,성남-01-010,경기도,성남시 분당구,백현초등학교,분당경찰서,"2022-08-25",성남-01-010-C-14.jpeg,""
"144",37.3800480000,127.1288970000,성남-01-011,경기도,성남시 분당구,분당초등학교,분당경찰서,"2022-08-31",성남-01-011-C-01.jpeg,""
"145",37.3798910000,127.1291170000,성남-01-011,경기도,성남시 분당구,분당초등학교,분당경찰서,"2022-08-31",성남-01-011-C-02.jpeg,""
"146",37.3798130000,127.1292010000,성남-01-011,경기도,성남시 분당구,분당초등학교,분당경찰서,"2022-08-31",성남-01-011-C-03.jpeg,""
"147",37.3796790000,127.1293710000,성남-01-011,경기도,성남시 분당구,분당초등학교,분당경찰서,"2022-08-31",성남-01-011-C-04.jpeg,""
"148",37.3791760000,127.1300810000,성남-01-011,경기도,성남시 분당구,분당초등학교,분당경찰서,"2022-08-31",성남-01-011-C-05.jpeg,""
"149",37.3791010000,127.1302050000,성남-01-011,경기도,성남시 분당구,분당초등학교,분당경찰서,"2022-08-31",성남-01-011-C-06.jpeg,""
"150",37.3790530000,127.1306310000,성남-01-011,경기도,성남시 분당구,분당초등학교,분당경찰서,"2022-08-31",성남-01-011-C-07.jpeg,""
"151",37.3786310000,127.1310280000,성남-01-011,경기도,성남시 분당구,분당초등학교,분당경찰서,"2022-08-31",성남-01-011-C-08.jpeg,""
"152",37.3778640000,127.1319310000,성남-01-011,경기도,성남시 분당구,분당초등학교,분당경찰서,"2022-08-31",성남-01-011-C-09.jpeg,""
"153",37.4188690000,127.1308490000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-01.jpeg,""
"154",37.4189080000,127.1323540000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-02.jpeg,""
"155",37.4191910000,127.1323580000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-03.jpeg,""
"156",37.4196270000,127.1323580000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-04.jpeg,""
"157",37.4200690000,127.1323620000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-05.jpeg,""
"158",37.4199440000,127.1324520000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-06.jpeg,""
"159",37.4199420000,127.1325590000,성남-01-012,경기도,성남시 중원구,성남여수초등학교,성남중원경찰서,"2022-07-27",성남-01-012-C-07.jpeg,""
