연번,위도,경도,보호구역아이디,시도명,시군구명,대상시설명,관할경찰서명,데이터기준일자,이미지명,비고
"49",37.3386470000,127.1200270000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-10.jpeg,""
"50",37.3383320000,127.1193270000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-11.jpeg,""
"51",37.3381690000,127.1180040000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-12.jpeg,""
"52",37.3381840000,127.1165650000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-13.jpeg,""
"53",37.3376490000,127.1190470000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-14.jpeg,""
"54",37.3376490000,127.1190070000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-15.jpeg,""
"55",37.3371540000,127.1190770000,성남-01-006,경기도,성남시 분당구,구미초등학교,분당경찰서,"2022-08-26",성남-01-006-F-16.jpeg,""
"56",37.3728010000,127.1213570000,성남-01-007,경기도,성남시 분당구,내정초등학교,분당경찰서,"2022-08-29",성남-01-007-F-01.jpeg,""
"57",37.3712540000,127.1227770000,성남-01-007,경기도,성남시 분당구,내정초등학교,분당경찰서,"2022-08-29",성남-01-007-F-02.jpeg,""
"58",37.4098410000,127.1308130000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-F-01.jpeg,""
"59",37.4089190000,127.1294510000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-F-02.jpeg,""
"60",37.4094820000,127.1294510000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-F-03.jpeg,""
"61",37.4097830000,127.1302210000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-F-04.jpeg,""
"62",37.4097410000,127.1308230000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-F-05.jpeg,""
"63",37.4097610000,127.1314120000,성남-01-008,경기도,성남시 분당구,돌마초등학교,분당경찰서,"2022-07-27",성남-01-008-F-06.jpeg,""
"64",37.3501370000,127.1159480000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-F-01.jpeg,""
"65",37.3487580000,127.1160030000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-F-02.jpeg,""
"66",37.3467610000,127.1160290000,성남-01-009,경기도,성남시 분당구,성남미금초등학교,분당경찰서,"2022-08-17",성남-01-009-F-03.jpeg,""
