시설물명,p_wide,p_barrier_yes,parked_density,sidewalk_ratio,road_width_relative,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,어린이 비율(%),발생건수,accident_label,risk_probability,safety_score
탄천초등학교,0.3183567,0.429389,0.0,0.0,0.38531023,5,8,16,3,8,16,8,1,7,10.59118249896178,0,0,0.001774980669959659,99.82250193300403
태평초등학교,0.023994982,0.06073153,0.0,0.0,0.40443867,9,19,32,2,31,38,10,4,9,4.915291795088737,0,0,0.02083256056389586,97.91674394361041
판교대장초등학교,0.9875657,0.9663458,0.0,0.3239733974220959,0.4845987,0,16,33,2,34,24,11,0,0,16.51335389118277,0,0,0.2567109847725874,74.32890152274125
판교샘유치원,0.07765913,0.06644943,1.0,0.0,0.21290633,2,19,9,0,15,19,1,1,4,16.51335389118277,0,0,0.006644667390294103,99.33553326097059
판교어린이집,0.16429085,0.17729378,0.0,0.0,0.42375514,6,12,22,0,10,12,4,0,7,17.447373411720083,0,0,0.0004707596965629304,99.95292403034371
판교제2어린이집,0.9928137,0.89608586,0.0,0.2547640618989183,0.43898916,3,7,6,1,6,20,5,0,3,17.447373411720083,0,0,0.008979606446734156,99.10203935532658
판교초등학교,0.4118662,0.5440995,0.0,0.0,0.4410699,5,15,26,1,17,16,9,1,5,17.447373411720083,0,0,0.0015748876969094382,99.84251123030906
푸르니이매어린이집,0.29708984,0.28221813,0.0,0.182259732231568,0.36664134,0,8,3,1,7,7,0,0,0,12.535826212734042,0,0,0.002839710679413843,99.71602893205862
하대원어린이집,0.049912155,0.15412658,3.0,0.0,0.3537142,3,1,0,2,4,18,3,0,2,8.504758980657048,0,0,0.01854593441626542,98.14540655837347
하원초등학교,0.95012796,0.93466485,0.0,0.25796690278872,0.45022243,6,7,21,2,15,16,10,2,6,10.261116015425358,0,0,0.006927906389030662,99.30720936109694
하탑초등학교,0.022196144,0.51896495,0.0,0.0,0.0,6,6,23,2,14,13,7,1,5,9.797809460541332,0,0,0.014270396871036326,98.57296031289636
한솔초등학교,0.073461264,0.14458534,2.0,0.0,0.36739781,3,1,9,1,3,13,0,1,1,10.59118249896178,0,0,0.0032627526055208672,99.6737247394479
한양어린이집,0.039639235,0.01903218,0.0,0.0,0.40374935,2,6,12,4,5,36,2,1,2,4.564100521725278,0,0,0.01653446135466381,98.34655386453362
해나유치원,0.15227687,0.17742777,1.0,0.0,0.47309187,5,12,17,1,17,18,2,0,4,17.447373411720083,0,0,0.0063407076221383,99.36592923778616
혜성유치원,0.3055244,0.23305568,2.0,0.0,0.0,4,6,20,6,10,39,13,1,10,10.261116015425358,0,0,0.27368153275653423,72.63184672434657
휴맥스어린이집,0.8611337,0.76759803,0.0,0.2226808484529882,0.38601613,0,3,0,0,2,5,0,0,0,9.35106661187283,0,0,0.004650513446274615,99.53494865537253
희망대초등학교,0.5001766,0.30558196,0.0,0.2191312193845355,0.3141477,0,10,14,5,14,20,10,1,0,9.309856304391824,0,0,0.03259384618345911,96.7406153816541
희영유치원,0.9506408,0.8562432,0.0,0.2290043616315,0.36192536,7,10,35,2,16,21,8,3,7,12.232102143182855,0,0,0.0056239427005105765,99.43760572994894
