,image,p_wide,p_narrow,p_barrier_yes,p_barrier_no,시설물명,road_width_relative,sidewalk_ratio,parked_density,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,동,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,총인구수,0~4세,5~9세,10~14세,어린이 총인구,어린이 비율(%),accident_label
42,서당초등학교_북쪽.png,0.69857645,0.31184378,0.59141445,0.41746542,서당초등학교,0.0,0.2254009020283098,0,37.374602,127.134587,4,7,35,2,16,13,4,1,4,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0
43,서현어린이집_북쪽.png,0.98792815,0.011648774,0.91101396,0.08768234,서현어린이집,0.44095105,0.231746169708402,0,37.382447,127.126079,1,7,8,2,12,12,3,1,1,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0
44,서현초등학교_북쪽.png,0.5481838,0.45280313,0.30093825,0.6984401,서현초등학교,0.40504596,0.0,3,37.382576,127.12855,4,8,10,1,13,11,2,1,5,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0
45,성남동초등학교_북쪽.png,0.08361152,0.91735137,0.062282324,0.9378862,성남동초등학교,0.0,0.0,2,37.449215,127.162178,1,16,15,0,18,25,4,1,1,금광동,0,0,0,0,0,0,43046,1564,1577,1276,4417,10.261116015425358,0
46,성남북초등학교_북쪽.png,0.5309843,0.47318122,0.862272,0.13390565,성남북초등학교,0.41552716,0.0,0,37.4515,127.151474,4,22,22,6,28,23,10,3,5,산성동,0,0,0,0,0,0,4421,56,110,142,308,6.966749604161953,0
47,성남생명숲어린이집_북쪽.png,0.55308306,0.44431773,0.15754968,0.8407959,성남생명숲어린이집,0.47550032,0.0,3,37.371025,127.115253,1,8,6,0,9,25,1,0,1,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0
48,성남서초등학교_북쪽.png,0.65698427,0.3449471,0.61983776,0.37722027,성남서초등학교,0.43095735,0.2465784087663328,0,37.448545,127.129403,7,6,14,2,10,16,7,1,6,태평동,0,0,0,0,0,0,49641,576,704,1160,2440,4.915291795088737,0
49,성남송현초등학교_북쪽.png,0.7186433,0.28296587,0.93734926,0.06215629,성남송현초등학교,0.4808179,0.166043499817932,0,37.405458,127.116346,4,9,38,3,14,8,4,1,6,삼평동,0,0,0,0,0,0,23593,923,1095,1366,3384,14.343237400924004,0
50,성남수정초등학교_북쪽.png,0.4271981,0.57429206,0.82671666,0.1703771,성남수정초등학교,0.27562046,0.2183011749178035,1,37.436212,127.132786,5,5,31,0,8,33,6,1,5,수진동,0,0,0,0,0,0,25109,262,346,538,1146,4.564100521725278,0
51,성남어린이집_북쪽.png,0.43321294,0.5703714,0.3302567,0.673087,성남어린이집,0.42211992,0.0,0,37.447702,127.141485,8,19,27,4,30,67,5,3,6,태평동,3,3,0,0,0,3,49641,576,704,1160,2440,4.915291795088737,0
52,성남여수초등학교_북쪽.png,0.2438027,0.75441897,0.20164773,0.79787,성남여수초등학교,0.43479198,0.0,3,37.419449,127.133081,4,16,36,3,26,11,5,1,4,도촌동,0,0,0,0,0,0,25878,714,1005,1359,3078,11.894273127753303,0
53,성남은행초등학교_북쪽.png,0.30465794,0.70025045,0.37877887,0.6227013,성남은행초등학교,0.47128093,0.1839698314629286,2,37.461002,127.170901,3,10,2,1,23,11,1,1,3,은행동,0,0,0,0,0,0,30267,400,549,880,1829,6.042884990253411,0
54,성남장안초등학교_북쪽.png,0.06789851,0.9301393,0.4178446,0.5826516,성남장안초등학교,0.2841161,0.0,0,37.372662,127.144459,4,10,20,1,22,15,1,1,4,분당동,0,0,0,0,0,0,24396,533,807,1282,2622,10.74766355140187,0
55,성남정자초등학교_북쪽.png,0.94132876,0.059459895,0.7911638,0.21057674,성남정자초등학교,0.41141486,0.237616898841296,0,37.374517,127.104912,2,6,6,2,4,2,2,1,2,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0
56,성남중앙초등학교_북쪽.png,0.1751858,0.8273268,0.050835103,0.9498756,성남중앙초등학교,0.28582168,0.0,2,37.436255,127.143529,6,16,13,5,13,16,5,1,6,성남동,0,0,0,0,0,0,31835,480,451,702,1633,5.129574367834145,0
57,성남초등학교_북쪽.png,0.12234968,0.877164,0.1552693,0.8450694,성남초등학교,0.4045322,0.0,3,37.446085,127.144145,7,12,30,3,16,40,5,2,5,태평동,0,0,0,0,0,0,49641,576,704,1160,2440,4.915291795088737,0
58,성남혜은학교_북쪽.png,0.11991006,0.88348234,0.08628425,0.9150456,성남혜은학교,0.304147,0.0,1,37.450396,127.153922,5,21,18,5,24,26,7,3,6,단대동,0,0,0,0,0,0,14162,295,336,497,1128,7.964976698206468,0
