보호구역아이디,시도명,시군구명,읍면동명,관리번호,교육시설명칭,관할경찰서명,경도,위도,데이터기준일자
11,경기도,광명시,하안동,0011-R-0002,가림초등학교,광명경찰서,126.880252743,37.457922568,2021-10-14
11,경기도,광명시,하안동,0011-R-0003,가림초등학교,광명경찰서,126.8806335,37.457501593,2021-10-14
11,경기도,광명시,하안동,0011-R-0005,가림초등학교,광명경찰서,126.879914145,37.45833861,2021-10-14
11,경기도,광명시,하안동,0011-R-0007,가림초등학교,광명경찰서,126.879517166,37.458794471,2021-10-14
11,경기도,광명시,하안동,0011-R-0001,가림초등학교,광명경찰서,126.88040133,37.458371095,2021-10-14
22,경기도,광명시,소하동,0022-R-0001,구름산초등학교,광명경찰서,126.883351009,37.454862949,2021-10-26
22,경기도,광명시,소하동,0022-R-0002,구름산초등학교,광명경찰서,126.883466548,37.455417317,2021-10-26
22,경기도,광명시,소하동,0022-R-0003,구름산초등학교,광명경찰서,126.884040228,37.455249763,2021-10-26
22,경기도,광명시,소하동,0022-R-0004,구름산초등학교,광명경찰서,126.884038555,37.454481341,2021-10-26
22,경기도,광명시,소하동,0022-R-0005,구름산초등학교,광명경찰서,126.884486679,37.453695616,2021-10-26
22,경기도,광명시,소하동,0022-R-0006,구름산초등학교,광명경찰서,126.884870239,37.453089959,2021-10-26
21,경기도,광명시,소하동,0021-R-0017,소하초등학교,광명경찰서,126.886003812,37.445620392,2021-10-26
21,경기도,광명시,소하동,0021-R-0020,소하초등학교,광명경찰서,126.888534762,37.444407319,2021-10-26
12,경기도,광명시,하안동,0012-R-0001,하안남초등학교,광명경찰서,126.885560649,37.461148735,2021-10-14
11,경기도,광명시,하안동,0011-R-0006,가림초등학교,광명경찰서,126.879712548,37.458566936,2021-10-14
21,경기도,광명시,소하동,0021-R-0019,소하초등학교,광명경찰서,126.889101245,37.445032621,2021-10-26
20,경기도,광명시,하안동,0020-R-0001,연서초등학교,광명경찰서,126.881577807,37.465516569,2021-10-01
18,경기도,광명시,가학동,0018-R-0001,안서초등학교,광명경찰서,126.872226031,37.402033255,2021-11-23
18,경기도,광명시,가학동,0018-R-0002,안서초등학교,광명경찰서,126.87243825,37.402031895,2021-11-23
18,경기도,광명시,가학동,0018-R-0003,안서초등학교,광명경찰서,126.871848835,37.402232869,2021-11-23
18,경기도,광명시,가학동,0018-R-0004,안서초등학교,광명경찰서,126.871773884,37.402014341,2021-11-23
18,경기도,광명시,가학동,0018-R-0005,안서초등학교,광명경찰서,126.871270496,37.402084864,2021-11-23
6,경기도,광명시,노온사동,0006-R-0001,온신초등학교,광명경찰서,126.845694996,37.442261483,2021-11-23
6,경기도,광명시,노온사동,0006-R-0002,온신초등학교,광명경찰서,126.845632241,37.442556927,2021-11-23
6,경기도,광명시,노온사동,0006-R-0003,온신초등학교,광명경찰서,126.845585628,37.443405069,2021-11-23
48,경기도,광명시,광명동,0048-R-0001,광명푸른숲어린이집,광명경찰서,126.850856427,37.477792276,2021-10-18
43,경기도,광명시,광명동,0043-R-0001,예크어린이집,광명경찰서,126.856109394,37.470262707,2021-10-26
50,경기도,광명시,광명동,0050-R-0001,엄지창의어린이집,광명경찰서,126.849686489,37.475694904,2021-10-18
2,경기도,광명시,광명동,0002-R-0002,광명남초등학교,광명경찰서,126.852867264,37.475959084,2021-10-18
2,경기도,광명시,광명동,0002-R-0003,광명남초등학교,광명경찰서,126.85318829,37.476760055,2021-10-18
2,경기도,광명시,광명동,0002-R-0001,광명남초등학교,광명경찰서,126.854385917,37.475341444,2021-10-18
7,경기도,광명시,광명동,0007-R-0002,광명서초등학교,광명경찰서,126.847677923,37.478286188,2021-10-18
7,경기도,광명시,광명동,0007-R-0001,광명서초등학교,광명경찰서,126.846908649,37.478691273,2021-10-18
3,경기도,광명시,광명동,0003-R-0002,광일초등학교,광명경찰서,126.848849071,37.470897907,2021-10-26
1,경기도,광명시,광명동,0001-R-0002,광명초등학교,광명경찰서,126.85798871,37.480959122,2021-10-26
1,경기도,광명시,광명동,0001-R-0001,광명초등학교,광명경찰서,126.858159566,37.480020956,2021-10-26
1,경기도,광명시,광명동,0001-R-0003,광명초등학교,광명경찰서,126.85839259,37.480528384,2021-10-26
3,경기도,광명시,광명동,0003-R-0003,광일초등학교,광명경찰서,126.846820004,37.471703403,2021-10-26
13,경기도,광명시,광명동,0013-R-0001,광문초등학교,광명경찰서,126.851041832,37.467484509,2021-10-26
13,경기도,광명시,광명동,0013-R-0002,광문초등학교,광명경찰서,126.850943197,37.466904858,2021-10-26
13,경기도,광명시,광명동,0013-R-0003,광문초등학교,광명경찰서,126.850718855,37.466556659,2021-10-26
13,경기도,광명시,광명동,0013-R-0004,광문초등학교,광명경찰서,126.851671304,37.467114619,2021-10-26
13,경기도,광명시,광명동,0013-R-0005,광문초등학교,광명경찰서,126.852257514,37.467126785,2021-10-26
13,경기도,광명시,광명동,0013-R-0006,광문초등학교,광명경찰서,126.852665795,37.467164542,2021-10-26
13,경기도,광명시,광명동,0013-R-0007,광문초등학교,광명경찰서,126.85219409,37.467491916,2021-10-26
3,경기도,광명시,광명동,0003-R-0001,광일초등학교,광명경찰서,126.847496566,37.469918922,2021-10-26
3,경기도,광명시,광명동,0003-R-0004,광일초등학교,광명경찰서,126.846055576,37.470665502,2021-10-26
7,경기도,광명시,광명동,0007-R-0003,광명서초등학교,광명경찰서,126.847376917,37.477312868,2021-10-18
7,경기도,광명시,광명동,0007-R-0004,광명서초등학교,광명경찰서,126.846347481,37.477724675,2021-10-18
25,경기도,광명시,일직동,0025-R-0001,빛가온초등학교,광명경찰서,126.88278073,37.41170214,2021-11-26
25,경기도,광명시,일직동,0025-R-0002,빛가온초등학교,광명경찰서,126.881969292,37.411422552,2021-11-26
25,경기도,광명시,일직동,0025-R-0003,빛가온초등학교,광명경찰서,126.881753688,37.41169903,2021-11-26
25,경기도,광명시,일직동,0025-R-0004,빛가온초등학교,광명경찰서,126.880718964,37.413275658,2021-11-26
25,경기도,광명시,일직동,0025-R-0005,빛가온초등학교,광명경찰서,126.880924533,37.413777084,2021-11-26
25,경기도,광명시,일직동,0025-R-0006,빛가온초등학교,광명경찰서,126.88128503,37.414331368,2021-11-26
25,경기도,광명시,일직동,0025-R-0007,빛가온초등학교,광명경찰서,126.881431437,37.414610152,2021-11-26
25,경기도,광명시,일직동,0025-R-0008,빛가온초등학교,광명경찰서,126.88182555,37.415528813,2021-11-26
25,경기도,광명시,일직동,0025-R-0009,빛가온초등학교,광명경찰서,126.882054547,37.414816686,2021-11-26
39,경기도,광명시,일직동,0039-R-0001,빛가온유치원,광명경찰서,126.889536647,37.418130722,2021-11-26
39,경기도,광명시,일직동,0039-R-0002,빛가온유치원,광명경찰서,126.888709835,37.418342277,2021-11-26
24,경기도,광명시,소하동,0024-R-0001,충현초등학교,광명경찰서,126.882794659,37.431939329,2021-11-26
24,경기도,광명시,소하동,0024-R-0002,충현초등학교,광명경찰서,126.88340473,37.431868478,2021-11-26
24,경기도,광명시,소하동,0024-R-0003,충현초등학교,광명경찰서,126.884280217,37.431965804,2021-11-26
24,경기도,광명시,소하동,0024-R-0004,충현초등학교,광명경찰서,126.885905205,37.431976673,2021-11-26
24,경기도,광명시,소하동,0024-R-0005,충현초등학교,광명경찰서,126.885348151,37.433826103,2021-11-26
24,경기도,광명시,소하동,0024-R-0006,충현초등학교,광명경찰서,126.885192464,37.43468267,2021-11-26
