보호구역 아이디,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,관리번호,횡단보도종류,자전거횡단도겸용여부,고원식 적용여부,경도,위도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관 전화번호,데이터기준일자
23,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,0023-W-0009,1,N,N,126.866761784,37.471159387,4,6,14,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
23,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,0023-W-0010,1,N,N,126.866875748,37.471248806,4,6,14,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
23,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,0023-W-0013,2,N,N,126.86689722,37.47116924,4,6,14,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
23,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,0023-W-0012,2,N,N,126.866902181,37.471169004,4,6,14,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
47,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 37,경기도 광명시 철산동 489-63,0047-W-0001,1,N,N,126.865668655,37.471147577,3,4,7,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
47,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 37,경기도 광명시 철산동 489-63,0047-W-0003,1,N,N,126.865636356,37.471267564,3,4,7,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
47,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 37,경기도 광명시 철산동 489-63,0047-W-0004,1,N,N,126.865530674,37.472245531,2,4,9,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
47,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 37,경기도 광명시 철산동 489-63,0047-W-0007,1,N,N,126.865430541,37.472522418,2,4,9,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
46,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,0046-W-0001,1,N,N,126.865287092,37.473475733,2,4,9,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
46,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,0046-W-0002,1,N,N,126.865103019,37.473590164,2,4,9,Y,N,Y,70,90,N,Y,Y,Y,광명경찰서,182,2021-10-14
