보호구역아이디,시도명,시군구명,읍면동명,관리번호,교육시설명칭,관할경찰서명,위도,경도,데이터기준일자
21,경기도,광명시,소하동,0021-S-0004,소하초등학교,광명경찰서,126.88806262,37.449745167,2021-10-21
21,경기도,광명시,소하동,0021-S-0006,소하초등학교,광명경찰서,126.888572592,37.449871786,2021-10-21
21,경기도,광명시,소하동,0021-S-0009,소하초등학교,광명경찰서,126.888134206,37.449013293,2021-10-21
21,경기도,광명시,소하동,0021-S-0010,소하초등학교,광명경찰서,126.888157887,37.449011599,2021-10-21
21,경기도,광명시,소하동,0021-S-0013,소하초등학교,광명경찰서,126.888084752,37.448615526,2021-10-21
21,경기도,광명시,소하동,0021-S-0012,소하초등학교,광명경찰서,126.888084745,37.448620246,2021-10-21
21,경기도,광명시,소하동,0021-S-0016,소하초등학교,광명경찰서,126.888142673,37.448025651,2021-10-21
21,경기도,광명시,소하동,0021-S-0014,소하초등학교,광명경찰서,126.888142124,37.448032516,2021-10-21
21,경기도,광명시,소하동,0021-S-0018,소하초등학교,광명경찰서,126.888199054,37.44738472,2021-10-21
21,경기도,광명시,소하동,0021-S-0017,소하초등학교,광명경찰서,126.888197961,37.447395874,2021-10-21
21,경기도,광명시,소하동,0021-S-0027,소하초등학교,광명경찰서,126.889979232,37.44734606,2021-10-21
21,경기도,광명시,소하동,0021-S-0029,소하초등학교,광명경찰서,126.890106638,37.44743499,2021-10-21
21,경기도,광명시,소하동,0021-S-0028,소하초등학교,광명경찰서,126.890116341,37.447423844,2021-10-21
21,경기도,광명시,소하동,0021-S-0024,소하초등학교,광명경찰서,126.890079658,37.447485592,2021-10-21
21,경기도,광명시,소하동,0021-S-0025,소하초등학교,광명경찰서,126.890066178,37.447503599,2021-10-21
21,경기도,광명시,소하동,0021-S-0026,소하초등학교,광명경찰서,126.889973048,37.44752668,2021-10-21
21,경기도,광명시,소하동,0021-S-0019,소하초등학교,광명경찰서,126.889792631,37.447625191,2021-10-21
21,경기도,광명시,소하동,0021-S-0030,소하초등학교,광명경찰서,126.888297881,37.445882316,2021-10-21
21,경기도,광명시,소하동,0021-S-0032,소하초등학교,광명경찰서,126.888427999,37.445591549,2021-10-21
21,경기도,광명시,소하동,0021-S-0033,소하초등학교,광명경찰서,126.888498091,37.445498943,2021-10-21
21,경기도,광명시,소하동,0021-S-0008,소하초등학교,광명경찰서,126.888126677,37.449588596,2021-10-08
12,경기도,광명시,하안동,0012-S-0003,하안남초등학교,광명경찰서,126.885584987,37.461193686,2021-10-14
12,경기도,광명시,하안동,0012-S-0007,하안남초등학교,광명경찰서,126.886619861,37.461488823,2021-10-14
21,경기도,광명시,소하동,0021-S-0031,소하초등학교,광명경찰서,126.888304627,37.445741917,2021-10-21
20,경기도,광명시,하안동,0020-S-0003,연서초등학교,광명경찰서,126.880647125,37.466582727,2021-10-01
21,경기도,광명시,소하동,0021-S-0034,소하초등학교,광명경찰서,126.887493571,37.445020771,2021-10-21
37,경기도,광명시,하안동,0037-S-0001,산들유치원,광명경찰서,126.860441053,37.456656656,2021-11-23
37,경기도,광명시,하안동,0037-S-0002,산들유치원,광명경찰서,126.859824305,37.454404082,2021-11-23
37,경기도,광명시,하안동,0037-S-0003,산들유치원,광명경찰서,126.860103074,37.454045631,2021-11-23
37,경기도,광명시,하안동,0037-S-0004,산들유치원,광명경찰서,126.860538127,37.453261832,2021-11-23
37,경기도,광명시,하안동,0037-S-0005,산들유치원,광명경찰서,126.860465222,37.453874416,2021-11-23
18,경기도,광명시,가학동,0018-S-0001,안서초등학교,광명경찰서,126.873280032,37.401683552,2021-11-23
18,경기도,광명시,가학동,0018-S-0002,안서초등학교,광명경찰서,126.872974793,37.401943075,2021-11-23
18,경기도,광명시,가학동,0018-S-0003,안서초등학교,광명경찰서,126.87224559,37.401982816,2021-11-23
18,경기도,광명시,가학동,0018-S-0004,안서초등학교,광명경찰서,126.872042276,37.402049347,2021-11-23
18,경기도,광명시,가학동,0018-S-0005,안서초등학교,광명경찰서,126.870292917,37.402326959,2021-11-23
18,경기도,광명시,가학동,0018-S-0006,안서초등학교,광명경찰서,126.870227237,37.402291128,2021-11-23
18,경기도,광명시,가학동,0018-S-0007,안서초등학교,광명경찰서,126.87210143,37.401968953,2021-11-23
18,경기도,광명시,가학동,0018-S-0008,안서초등학교,광명경찰서,126.873177732,37.401655431,2021-11-23
6,경기도,광명시,노온사동,0006-S-0001,온신초등학교,광명경찰서,126.846532385,37.442023834,2021-11-23
6,경기도,광명시,노온사동,0006-S-0002,온신초등학교,광명경찰서,126.846370914,37.442033159,2021-11-23
6,경기도,광명시,노온사동,0006-S-0003,온신초등학교,광명경찰서,126.845763707,37.442163485,2021-11-23
6,경기도,광명시,노온사동,0006-S-0004,온신초등학교,광명경찰서,126.845668179,37.442091842,2021-11-23
