시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
유치원,광덕 초등학교 병설유치원,경기도 안산시 상록구 안산천서로3길 6-7,경기도 안산시 상록구 월피동 523,37.333067,126.843742,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,4,,2025-06-02
초등학교,매화 초등학교,경기도 안산시 상록구 안산대학로 35,경기도 안산시 상록구 이동 608,37.305937,126.862365,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,3,,2025-06-02
유치원,매화 초등학교 병설유치원,경기도 안산시 상록구 안산대학로 35,경기도 안산시 상록구 이동 608,37.305937,126.862365,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,1,,2025-06-02
초등학교,경기도 양평군 강상초등학교,경기도 양평군 강상면 신화길 86,경기도 양평군 강상면 신화리 243,37.4739284001,127.4798289977,경기도 양평군,양평경찰서,Y,2,,2023-11-30
초등학교,경기도 양평군 세월초등학교,경기도 양평군 강상면 세월길147번길 2,경기도 양평군 강상면 세월리 126-1,37.4360538059,127.4951125671,경기도 양평군,양평경찰서,Y,2,,2023-11-30
초등학교,경기도 양평군 양수초등학교,경기도 양평군 양서면 용담3길 15,경기도 양평군 양서면 용담리 212,37.5447343617,127.3256681196,경기도 양평군,양평경찰서,Y,2,,2023-11-30
초등학교,경기도 양평군 대아초등학교,경기도 양평군 양서면 방죽들길 5,경기도 양평군 양서면 증동리 573,37.5278908155,127.4156006193,경기도 양평군,양평경찰서,Y,2,,2023-11-30
초등학교,경기도 양평군 서종초등학교,경기도 양평군 서종면 북한강로789번길 8,경기도 양평군 서종면 문호리 733,37.6091019577,127.3481943993,경기도 양평군,양평경찰서,Y,2,,2023-11-30
초등학교,경기도 양평군 수입초등학교,경기도 양평군 서종면 무드리2길 20,경기도 양평군 서종면 수입리 673,37.6445312879,127.3757399754,경기도 양평군,양평경찰서,Y,2,,2023-11-30
초등학교,경기도 양평군 단월초등학교,경기도 양평군 단월면 보룡길 65,경기도 양평군 단월면 보룡리 346-1,37.5396082489,127.6728384075,경기도 양평군,양평경찰서,Y,2,,2023-11-30
초등학교,경기도 양평군 양동초등학교,경기도 양평군 양동면 양동로 1671,경기도 양평군 양동면 석곡리 190,37.4307034106,127.7498572829,경기도 양평군,양평경찰서,Y,2,,2023-11-30
초등학교,경기도 양평군 지평초등학교,경기도 양평군 지평면 지평의병로 107,경기도 양평군 지평면 지평리 502-2,37.4758449686,127.6380388087,경기도 양평군,양평경찰서,Y,2,,2023-11-30
