순번(NO),구분(LAMP),일련번호(SER),위도(LATITUDE),경도(LONGITUDE)
251,2,발이봉남로-6,37.36288201,127.1287162
252,2,발이봉남로-7,37.36532829,127.126859
253,2,발이봉남로-8,37.36406965,127.1260269
254,2,발이봉남로-9,37.36471785,127.1271709
255,2,발이봉남로-10,37.36394467,127.1261864
256,2,발이봉남로-11,37.36444189,127.1264064
257,2,발이봉남로-12,37.36416133,127.1262403
258,2,발이봉남로-13,37.36444697,127.127095
259,2,발이봉남로-14,37.36444697,127.127095
260,2,발이봉남로-15,37.3642137,127.1272332
261,2,발이봉남로-16,37.36451979,127.1271958
262,2,발이봉남로-17,37.36461405,127.1277592
263,2,발이봉남로-18,37.36409732,127.1273361
264,2,발이봉남로-19,37.36393639,127.1275073
265,2,발이봉남로-20,37.36430646,127.1275934
266,2,발이봉남로-21,37.36410455,127.1283182
267,2,발이봉남로-22,37.3639951,127.1281388
268,2,발이봉남로-23,37.36350739,127.1279864
269,2,발이봉남로-24,37.36381282,127.1278587
270,2,발이봉남로-25,37.36341796,127.1280778
271,2,발이봉남로-26,37.3637488,127.1289545
272,2,발이봉남로-27,37.36324818,127.1282717
273,2,발이봉남로-28,37.36354842,127.1286633
274,2,발이봉남로-29,37.36326242,127.1289827
275,2,발이봉남로-30,37.36594607,127.1263213
276,2,발이봉남로-31,37.36309131,127.128996
277,2,발이봉남로-32,37.36322796,127.1291976
278,2,발이봉남로-33,37.36508145,127.1251572
279,2,발이봉남로-34,37.36545077,127.1263609
280,2,발이봉남로-35,37.36468584,127.1252747
281,2,발이봉남로-36,37.36508653,127.1258458
282,2,발이봉로-1,37.36513697,127.1277983
283,2,발이봉로-2,37.36468688,127.1278599
284,2,발이봉로-3,37.36458877,127.1279965
285,2,발이봉로-4,37.36432063,127.1282931
286,2,발이봉로-5,37.36432063,127.1282931
287,2,발이봉로-6,37.36347181,127.1292738
288,2,발이봉로-7,37.3633646,127.1293992
289,2,발이봉로-8,37.36588364,127.1276316
290,2,발이봉로-9,37.36514963,127.1282949
291,2,발이봉로-10,37.36545714,127.1284494
292,2,발이봉로-11,37.36485093,127.1293369
293,2,발이봉로-12,37.36611524,127.1272676
294,2,발이봉북로-1,37.36501493,127.1295834
295,2,발이봉북로-2,37.36408924,127.1311407
296,2,발이봉북로-3,37.3656864,127.1302192
297,2,발이봉북로-4,37.36512223,127.1294693
298,2,발이봉북로-5,37.36534054,127.129749
299,2,발이봉북로-6,37.36534054,127.129749
300,2,발이봉북로-7,37.36540966,127.1305723
301,2,발이봉북로-8,37.3655792,127.1303446
302,2,발이봉북로-9,37.36516051,127.1297736
303,2,발이봉북로-10,37.36520019,127.1302699
304,2,발이봉북로-11,37.36504141,127.1307346
305,2,발이봉북로-12,37.36490775,127.1309394
306,2,발이봉북로-13,37.36543901,127.1308881
307,2,발이봉북로-14,37.36543901,127.1308881
308,2,발이봉북로-15,37.36519822,127.1312295
309,2,발이봉북로-16,37.36481069,127.1299922
310,2,발이봉북로-17,37.36452833,127.1308083
311,2,발이봉북로-18,37.3650929,127.130384
312,2,백현로-1,37.36853989,127.1128111
313,2,백현로-2,37.37295069,127.1134141
314,2,백현로-3,37.37279583,127.1131901
315,2,백현로-4,37.37256821,127.1128767
316,2,백현로-5,37.37223763,127.1132531
317,2,백현로-6,37.37249537,127.1127759
318,2,백현로-7,37.37204631,127.1129731
319,2,백현로-8,37.37234051,127.1125519
320,2,백현로-9,37.37225857,127.112442
321,2,백현로-10,37.37210388,127.1122386
322,2,백현로-11,37.37176235,127.1123555
323,2,백현로-12,37.37165347,127.1122552
324,2,백현로-13,37.37323296,127.113806
325,2,백현로-14,37.37309629,127.1136043
326,2,백현로-15,37.37241279,127.1137817
327,2,백현로-16,37.37168155,127.1135984
328,2,백현로-17,37.37160862,127.1134863
329,2,백현로-18,37.37227581,127.114743
330,2,백현로-19,37.37215733,127.1145638
331,2,백현로-20,37.3721894,127.1140327
332,2,백현로-21,37.37208457,127.1144743
333,2,백현로-22,37.37208457,127.1144743
334,2,백현로-23,37.37194807,127.1142953
335,2,백현로-24,37.37227093,127.1152963
336,2,백현로-25,37.37227093,127.1152963
337,2,백현로-26,37.37168366,127.1138806
338,2,백현로-27,37.37112976,127.1145194
339,2,백현로-28,37.37154732,127.1137242
340,2,백현로-29,37.37148349,127.1136233
341,2,백현로-30,37.37128401,127.1134563
342,2,백현로-31,37.37123803,127.1133326
343,2,백현로-32,37.3709066,127.1135962
344,2,백현로-33,37.3720525,127.1150053
345,2,백현로-34,37.37171273,127.1153593
346,2,백현로-35,37.37173605,127.1148623
347,2,벌말로-1,37.41102201,127.1379311
348,2,벌말로-2,37.41196979,127.1381574
349,2,벌말로-3,37.41216833,127.1382004
350,2,벌말로-4,37.41097354,127.1362259
351,2,벌말로-5,37.41064816,127.1373253
352,2,벌말로-6,37.41140997,127.1367631
353,2,벌말로-7,37.41267055,127.1366357
354,2,벌말로-8,37.41253479,127.1377895
355,2,벌말로-9,37.41233352,127.1373738
356,2,분당로-1,37.36696872,127.1417198
357,2,분당로-2,37.36679949,127.1419927
358,2,분당로-3,37.36674641,127.1421288
359,2,분당로-4,37.36661445,127.1425706
360,2,분당로-5,37.36602765,127.1424192
361,2,분당로-6,37.36602765,127.1424192
362,2,분당로-7,37.36653047,127.1434183
363,2,분당로-8,37.3665498,127.1435987
364,2,분당로-9,37.36762628,127.1454267
365,2,분당로-10,37.3695385,127.1444454
366,2,분당로-11,37.36759279,127.1420401
367,2,분당로-12,37.36745092,127.1423579
368,2,분당로-13,37.36709405,127.1416055
369,2,분당로-14,37.36724499,127.1425408
370,2,분당로-15,37.36795164,127.1418216
371,2,분당로-16,37.36724301,127.1435118
372,2,분당로-17,37.36652835,127.1431248
373,2,분당로-18,37.36711438,127.1444164
374,2,분당로-19,37.36738113,127.1451698
375,2,분당로-20,37.36738113,127.1451698
376,2,분당로-21,37.36715205,127.1446418
377,2,분당로-22,37.3672565,127.1441326
378,2,분당로-23,37.36901524,127.1468561
379,2,분당로-24,37.36849727,127.1462523
380,2,분당로-25,37.3686131,127.1460703
381,2,분당로-26,37.36862797,127.146883
382,2,분당로-27,37.36931395,127.1470446
383,2,분당로-28,37.36948531,127.1470653
384,2,분당로-29,37.36899827,127.147003
385,2,불곡남로-1,37.35798528,127.1245283
386,2,불곡남로-2,37.35823072,127.1248189
387,2,불곡남로-3,37.35767536,127.1240465
388,2,불곡남로-4,37.35808181,127.1241772
389,2,불곡남로-5,37.35798369,127.1230947
390,2,불곡남로-6,37.35810016,127.123003
391,2,불곡남로-7,37.35861232,127.1240243
392,2,불곡남로-8,37.35861232,127.1240243
393,2,불곡남로-9,37.35861232,127.1240243
394,2,불곡남로-10,37.35861232,127.1240243
395,2,불곡남로-11,37.35861232,127.1240243
396,2,불곡남로-12,37.35773275,127.1232782
397,2,불곡남로-13,37.3577899,127.1249143
398,2,불곡남로-14,37.35775561,127.1251518
399,2,불곡남로-15,37.35800088,127.1254199
400,2,불곡남로-16,37.35721242,127.1248082
401,2,불곡남로-17,37.35685327,127.1249816
402,2,불곡남로-18,37.35818783,127.1226746
403,2,불곡남로-19,37.35868054,127.1222851
404,2,불곡남로-20,37.3584477,127.1224797
405,2,불곡남로-21,37.35862565,127.1221729
406,2,불곡로-1,37.35918245,127.1255755
407,2,불곡로-2,37.35873579,127.1248808
408,2,불곡로-3,37.35891982,127.1253979
409,2,불곡북로-1,37.35976544,127.1252075
410,2,불곡북로-2,37.35971554,127.1257725
411,2,불곡북로-3,37.35986896,127.1258046
412,2,불곡북로-4,37.35986896,127.1258046
413,2,불곡북로-5,37.36023095,127.1260149
414,2,불곡북로-6,37.36039329,127.1260356
415,2,불곡북로-7,37.36054647,127.1260338
416,2,불곡북로-8,37.35955394,127.1258534
417,2,불곡북로-9,37.35969852,127.1259082
418,2,불곡북로-10,37.35919812,127.1264784
419,2,불곡북로-11,37.35974907,127.1266526
420,2,불곡북로-12,37.35966321,127.1272294
421,2,불곡북로-13,37.35938157,127.1269165
422,2,불곡북로-14,37.35897769,127.1271357
423,2,불곡북로-15,37.35924891,127.1272567
424,2,불곡북로-16,37.35938714,127.1276728
425,2,불정로-1,37.37462361,127.1448619
426,2,불정로-2,37.37456258,127.1451449
427,2,불정로-3,37.37655955,127.1409333
428,2,불정로-5,37.37663457,127.1413389
429,2,불정로-6,37.3767164,127.1414396
430,2,불정로-14,37.37689644,127.141415
431,2,불정로-15,37.37678021,127.1415405
432,2,불정로-16,37.37742213,127.141838
433,2,불정로-17,37.37762969,127.1418808
434,2,불정로-18,37.37753131,127.1419836
435,2,불정로-19,37.3746243,127.1437103
