"행정구역","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~4세","2025년_계_5~9세","2025년_계_10~14세","2025년_계_15~19세","2025년_계_20~24세","2025년_계_25~29세","2025년_계_30~34세","2025년_계_35~39세","2025년_계_40~44세","2025년_계_45~49세","2025년_계_50~54세","2025년_계_55~59세","2025년_계_60~64세","2025년_계_65~69세","2025년_계_70~74세","2025년_계_75~79세","2025년_계_80~84세","2025년_계_85~89세","2025년_계_90~94세","2025년_계_95~99세","2025년_계_100세 이상","2025년_남_총인구수","2025년_남_연령구간인구수","2025년_남_0~4세","2025년_남_5~9세","2025년_남_10~14세","2025년_남_15~19세","2025년_남_20~24세","2025년_남_25~29세","2025년_남_30~34세","2025년_남_35~39세","2025년_남_40~44세","2025년_남_45~49세","2025년_남_50~54세","2025년_남_55~59세","2025년_남_60~64세","2025년_남_65~69세","2025년_남_70~74세","2025년_남_75~79세","2025년_남_80~84세","2025년_남_85~89세","2025년_남_90~94세","2025년_남_95~99세","2025년_남_100세 이상","2025년_여_총인구수","2025년_여_연령구간인구수","2025년_여_0~4세","2025년_여_5~9세","2025년_여_10~14세","2025년_여_15~19세","2025년_여_20~24세","2025년_여_25~29세","2025년_여_30~34세","2025년_여_35~39세","2025년_여_40~44세","2025년_여_45~49세","2025년_여_50~54세","2025년_여_55~59세","2025년_여_60~64세","2025년_여_65~69세","2025년_여_70~74세","2025년_여_75~79세","2025년_여_80~84세","2025년_여_85~89세","2025년_여_90~94세","2025년_여_95~99세","2025년_여_100세 이상"
"경기도 성남시 분당구 수내3동(4113554000)","13,191","13,191","171","575","1,118","1,096","739","902","703","626","1,141","1,494","1,432","920","708","598","396","260","165","91","46","9","1","6,536","6,536","80","275","557","578","378","479","401","306","500","691","740","495","347","295","186","108","76","33","9","2","0","6,655","6,655","91","300","561","518","361","423","302","320","641","803","692","425","361","303","210","152","89","58","37","7","1"
"경기도 성남시 분당구 정자동(4113554500)","13,750","13,750","278","437","647","695","709","1,285","1,189","931","1,102","1,091","1,147","1,014","857","798","593","418","298","182","59","18","2","6,979","6,979","143","216","332","349","338","717","709","491","567","525","563","504","400","408","279","188","143","89","15","3","0","6,771","6,771","135","221","315","346","371","568","480","440","535","566","584","510","457","390","314","230","155","93","44","15","2"
"경기도 성남시 분당구 정자1동(4113555000)","30,247","30,247","527","1,066","1,730","1,663","1,423","2,567","2,743","2,067","2,459","2,895","2,831","2,272","1,658","1,281","911","826","647","459","181","31","10","14,353","14,353","267","524","882","811","658","1,109","1,417","949","1,079","1,300","1,334","1,152","862","618","397","366","310","222","77","12","7","15,894","15,894","260","542","848","852","765","1,458","1,326","1,118","1,380","1,595","1,497","1,120","796","663","514","460","337","237","104","19","3"
"경기도 성남시 분당구 정자2동(4113556000)","14,183","14,183","316","339","550","610","540","965","1,520","1,146","1,100","1,056","1,189","1,019","971","902","605","512","398","272","131","36","6","6,735","6,735","144","176","303","334","294","463","784","588","531","499","553","505","430","428","274","190","134","64","33","7","1","7,448","7,448","172","163","247","276","246","502","736","558","569","557","636","514","541","474","331","322","264","208","98","29","5"
"경기도 성남시 분당구 정자3동(4113557000)","16,467","16,467","434","659","923","995","889","1,046","1,154","1,099","1,340","1,454","1,605","1,290","1,040","804","529","426","366","266","114","33","1","7,923","7,923","208","327","471","492","474","509","602","547","617","688","738","658","498","388","238","166","144","102","45","11","0","8,544","8,544","226","332","452","503","415","537","552","552","723","766","867","632","542","416","291","260","222","164","69","22","1"
"경기도 성남시 분당구 서현1동(4113558000)","30,649","30,649","613","1,118","1,962","1,985","1,582","2,171","2,290","1,883","2,515","2,828","2,886","2,456","1,837","1,516","1,036","754","601","392","183","39","2","14,870","14,870","328","598","1,006","963","789","1,043","1,216","927","1,146","1,273","1,397","1,208","908","740","504","340","248","163","59","14","0","15,779","15,779","285","520","956","1,022","793","1,128","1,074","956","1,369","1,555","1,489","1,248","929","776","532","414","353","229","124","25","2"
"경기도 성남시 분당구 서현2동(4113559000)","17,273","17,273","396","618","980","1,046","934","1,212","1,130","1,095","1,223","1,437","1,616","1,499","1,282","1,124","640","443","290","200","84","23","1","8,505","8,505","224","310","516","552","475","647","591","520","602","653","765","720","630","548","318","211","124","74","22","3","0","8,768","8,768","172","308","464","494","459","565","539","575","621","784","851","779","652","576","322","232","166","126","62","20","1"
"경기도 성남시 분당구 이매1동(4113560000)","24,537","24,537","737","977","1,389","1,439","1,325","1,457","1,664","1,697","1,937","2,078","2,301","1,958","1,578","1,434","925","695","479","296","118","48","5","11,967","11,967","380","511","736","725","663","743","840","822","916","973","1,082","973","754","701","452","321","211","117","34","11","2","12,570","12,570","357","466","653","714","662","714","824","875","1,021","1,105","1,219","985","824","733","473","374","268","179","84","37","3"
"경기도 성남시 분당구 이매2동(4113561000)","12,796","12,796","284","495","798","882","696","700","574","672","885","1,079","1,251","1,077","948","860","615","412","289","181","73","21","4","6,270","6,270","166","248","425","448","360","360","284","301","403","482","599","528","462","444","317","188","138","82","28","6","1","6,526","6,526","118","247","373","434","336","340","290","371","482","597","652","549","486","416","298","224","151","99","45","15","3"
"경기도 성남시 분당구 야탑1동(4113562000)","16,525","16,525","462","529","590","564","707","1,415","1,498","1,193","1,219","1,164","1,259","1,265","1,220","1,202","865","593","428","236","88","24","4","8,144","8,144","245","258","296","295","348","741","807","612","611","580","599","587","568","600","410","256","203","96","25","5","2","8,381","8,381","217","271","294","269","359","674","691","581","608","584","660","678","652","602","455","337","225","140","63","19","2"
