보호구역아이디,관리번호,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로종류,규격여부,경도,위도,보차분리여부,연속형여부,설치년도,관리기관명,관리기관전화번호,데이터기준일자
17,0017-B-0009,경기도,광명시,안현로,경기도 광명시 안현로 16,경기도 광명시 하안2동 649,하안주공3단지 상가 앞,1,1,10,360,7,1,Y,126.874340897,37.463922521,Y,Y,,광명경찰서,182,2021-10-14
26,0026-B-0001,경기도,광명시,가림로,경기도 광명시 가림로 40,경기도 광명시 하안동 702-5,하안북초 정문 전방 10m,1,1,10,360,20,1,Y,126.868883738,37.463847824,Y,Y,,광명경찰서,182,2021-10-14
26,0026-B-0004,경기도,광명시,가림로,경기도 광명시 가림로 40,경기도 광명시 하안동 702-5,하안북중 정문 전방 10m,1,1,10,360,20,1,Y,126.868166518,37.463954307,Y,Y,,광명경찰서,182,2021-10-14
26,0026-B-0005,경기도,광명시,가림로,경기도 광명시 가림로 40,경기도 광명시 하안동 702-5,가림유치원 정문 앞 전방 10m,1,1,10,360,20,1,Y,126.866900537,37.464038162,Y,Y,,광명경찰서,182,2021-10-14
26,0026-B-0006,경기도,광명시,가림로,경기도 광명시 가림로 40,경기도 광명시 하안동 702-5,가림유치원 정문 앞 전방 10m,1,1,10,360,20,1,Y,126.866334112,37.463907675,Y,Y,,광명경찰서,182,2021-10-14
10,0010-B-0001,경기도,광명시,가림로,경기도 광명시 가림로 18,경기도 광명시 하안동 684-1,하안1동행정복지센터 앞,1,3,10,360,10,1,Y,126.869192119,37.465319943,Y,Y,,광명경찰서,182,2021-10-14
10,0010-B-0006,경기도,광명시,가림로,경기도 광명시 가림로 18,경기도 광명시 하안동 684-1,하안북초등학교 전방 20m,1,1,10,360,10,1,Y,126.867631812,37.465199726,Y,Y,,광명경찰서,182,2021-10-14
10,0010-B-0009,경기도,광명시,가림로,경기도 광명시 가림로 18,경기도 광명시 하안동 684-1,광명이편한세상 놀이터 앞,1,1,10,360,10,1,Y,126.866357212,37.465739109,Y,Y,,광명경찰서,182,2021-10-14
10,0010-B-0010,경기도,광명시,가림로,경기도 광명시 가림로 18,경기도 광명시 하안동 684-1,광명이편한세상 놀이터 앞,1,1,10,360,10,1,Y,126.865582125,37.465974691,Y,Y,,광명경찰서,182,2021-10-14
45,0045-B-0001,경기도,광명시,가림일로,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,가림공원 앞,1,1,10,360,10,1,Y,126.864866273,37.467145522,Y,Y,,광명경찰서,182,2021-10-14
45,0045-B-0009,경기도,광명시,가림일로,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,구름산어린이집 정문 전방 20m,1,1,10,360,10,1,Y,126.865572174,37.468780901,Y,Y,,광명경찰서,182,2021-10-14
23,0023-B-0001,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,구름산어린이집 정문 전방 20m,1,1,10,360,5,1,Y,126.866239335,37.469194414,Y,Y,,광명경찰서,182,2021-10-14
23,0023-B-0002,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,안현초등학교 정문 전방 30m,1,1,10,360,5,1,Y,126.86613253,37.469359524,Y,Y,,광명경찰서,182,2021-10-14
23,0023-B-0003,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,함께하는교회 앞,1,1,10,360,5,1,Y,126.866339182,37.469478893,Y,Y,,광명경찰서,182,2021-10-14
23,0023-B-0004,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 5,경기도 광명시 하안1동 864-1,함께하는교회 앞,1,1,10,360,5,1,Y,126.866466856,37.469751971,Y,Y,,광명경찰서,182,2021-10-14
47,0047-B-0003,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 37,경기도 광명시 철산동 489-63,브라운스톤2차상가 앞,1,1,10,360,10,1,Y,126.865587887,37.472053223,Y,Y,,광명경찰서,182,2021-10-14
47,0047-B-0004,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 37,경기도 광명시 철산동 489-63,마리아어린이집 입구 전방 10m,1,1,10,360,10,1,Y,126.865424549,37.472692791,Y,Y,,광명경찰서,182,2021-10-14
46,0046-B-0001,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,홍익어린이집 정문 전방 10m,1,1,10,360,10,1,Y,126.865400903,37.473258057,Y,Y,,광명경찰서,182,2021-10-14
46,0046-B-0002,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,광명푸르지오아파트 상가 앞,1,1,10,360,10,1,Y,126.864987843,37.473632846,Y,Y,,광명경찰서,182,2021-10-14
46,0046-B-0003,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,광명푸르지오아파트 상가 앞,1,1,10,360,10,1,Y,126.864714749,37.473760627,Y,Y,,광명경찰서,182,2021-10-14
46,0046-B-0004,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,광명푸르지오아파트상가 건너편,1,1,10,360,10,1,Y,126.864252152,37.474304537,Y,Y,,광명경찰서,182,2021-10-14
46,0046-B-0005,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,우물가 선교교회 앞,1,1,10,360,10,1,Y,126.864312731,37.474581151,Y,Y,,광명경찰서,182,2021-10-14
46,0046-B-0006,경기도,광명시,도덕공원로,경기도 광명시 도덕공원로 49,경기도 광명시 철산동 628,대한광명 노인복지센터 앞,1,1,10,360,10,1,Y,126.864058845,37.475165846,Y,Y,,광명경찰서,182,2021-10-14
4,0004-B-0001,경기도,광명시,오리로,경기도 광명시 오리로 841번길 9,경기도 광명시 철산동 498,광덕초등학교 정문 건너편,1,1,10,360,10,1,Y,126.867580874,37.473278059,Y,Y,,광명경찰서,182,2021-10-14
45,0045-B-0005,경기도,광명시,가림일로,경기도 광명시 가림일로 76,경기도 광명시 철산동 620,늘사랑침례교회 정문 앞,1,1,10,360,10,1,Y,126.864800805,37.468088269,Y,Y,,광명경찰서,182,2021-10-14
26,0026-B-0007,경기도,광명시,가림로,경기도 광명시 가림로 40,경기도 광명시 하안동 702-5,사랑의손어린이집 정문 전방 20m,1,1,10,360,10,1,Y,126.864922219,37.463769932,Y,Y,,광명경찰서,182,2021-10-14
17,0017-B-0003,경기도,광명시,안현로,경기도 광명시 안현로 16,경기도 광명시 하안2동 649,주공3단지아파트 앞,1,1,10,360,7,1,Y,126.875101922,37.462551075,Y,Y,,광명경찰서,182,2021-10-14
