관리아이디,위도,경도,보호구역아이디,카테고리
0045-F-0008,37.466707695,126.865097916,45,무단횡단방지펜스
0045-F-0007,37.467147629,126.864925372,45,무단횡단방지펜스
0045-F-0006,37.467637868,126.864910967,45,무단횡단방지펜스
0045-F-0003,37.468228975,126.86528167,45,무단횡단방지펜스
0045-F-0001,37.46877771,126.865988798,45,무단횡단방지펜스
0023-F-0019,37.469380102,126.866373871,23,무단횡단방지펜스
0023-F-0018,37.46995637,126.866745065,23,무단횡단방지펜스
0023-F-0017,37.470339778,126.867227466,23,무단횡단방지펜스
0023-F-0016,37.470909191,126.867134732,23,무단횡단방지펜스
0023-F-0015,37.471037978,126.867070868,23,무단횡단방지펜스
0023-F-0014,37.471206226,126.867214566,23,무단횡단방지펜스
0023-F-0013,37.471325024,126.867644281,23,무단횡단방지펜스
0023-F-0010,37.470727818,126.868238121,23,무단횡단방지펜스
0023-F-0009,37.469573683,126.86845798,23,무단횡단방지펜스
0045-F-0009,37.466809788,126.864899211,45,무단횡단방지펜스
0045-F-0005,37.468328871,126.864690253,45,무단횡단방지펜스
0045-F-0004,37.468348015,126.865230168,45,무단횡단방지펜스
0023-F-0021,37.469448529,126.866207759,23,무단횡단방지펜스
0045-F-0002,37.468764704,126.865775312,45,무단횡단방지펜스
0023-F-0020,37.469191557,126.866176775,23,무단횡단방지펜스
0023-F-0022,37.469729973,126.866387275,23,무단횡단방지펜스
0023-F-0023,37.469968863,126.866508958,23,무단횡단방지펜스
0023-F-0024,37.470076179,126.86674301,23,무단횡단방지펜스
0023-F-0025,37.4704336,126.867080637,23,무단횡단방지펜스
0023-F-0012,37.471409004,126.867394216,23,무단횡단방지펜스
0023-F-0011,37.470815908,126.86852325,23,무단횡단방지펜스
0023-F-0003,37.470313737,126.869282514,23,무단횡단방지펜스
0023-F-0002,37.470431393,126.870139023,23,무단횡단방지펜스
0023-F-0001,37.470485272,126.870631381,23,무단횡단방지펜스
0023-F-0004,37.470344333,126.870598224,23,무단횡단방지펜스
0023-F-0005,37.4701545,126.869413658,23,무단횡단방지펜스
0023-F-0006,37.469845339,126.868774965,23,무단횡단방지펜스
0023-F-0007,37.469506582,126.868770725,23,무단횡단방지펜스
0023-F-0008,37.469151854,126.868452845,23,무단횡단방지펜스
0004-F-0005,37.472043582,126.867739693,4,무단횡단방지펜스
0004-F-0004,37.472713971,126.867486442,4,무단횡단방지펜스
0004-F-0003,37.473058735,126.867355554,4,무단횡단방지펜스
0004-F-0002,37.473347066,126.866825175,4,무단횡단방지펜스
0004-F-0001,37.473823861,126.867057683,4,무단횡단방지펜스
0004-F-0008,37.473933451,126.867351375,4,무단횡단방지펜스
0004-F-0007,37.472891113,126.867749745,4,무단횡단방지펜스
0004-F-0006,37.471998492,126.86808557,4,무단횡단방지펜스
0047-F-0002,37.471012885,126.86633402,47,무단횡단방지펜스
0047-F-0001,37.471136697,126.866227498,47,무단횡단방지펜스
0047-F-0003,37.471367728,126.865686711,47,무단횡단방지펜스
0047-F-0004,37.471323318,126.865573061,47,무단횡단방지펜스
0047-F-0006,37.471577517,126.865555651,47,무단횡단방지펜스
0047-F-0007,37.47187245,126.865539301,47,무단횡단방지펜스
0047-F-0005,37.471777139,126.86565641,47,무단횡단방지펜스
0047-F-0008,37.472389827,126.865503421,47,무단횡단방지펜스
0047-F-0010,37.472781011,126.865369016,47,무단횡단방지펜스
0047-F-0009,37.472794846,126.865473134,47,무단횡단방지펜스
0046-F-0001,37.473278846,126.865442582,46,무단횡단방지펜스
0046-F-0002,37.473250639,126.865352765,46,무단횡단방지펜스
0046-F-0003,37.473581849,126.865009301,46,무단횡단방지펜스
0046-F-0005,37.473743931,126.864654089,46,무단횡단방지펜스
0046-F-0006,37.474010245,126.864305797,46,무단횡단방지펜스
0046-F-0004,37.473803149,126.864714253,46,무단횡단방지펜스
0031-F-0002,37.46096747,126.87712496,31,무단횡단방지펜스
0017-F-0002,37.464662631,126.87505191,17,무단횡단방지펜스
0017-F-0004,37.464517128,126.875173313,17,무단횡단방지펜스
