대상시설명,소재지지번주소,위도_스쿨존,경도_스쿨존,사고지역위치명,사고유형구분,사고년도,위도_사고,경도_사고,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,직선거리(m)
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 중원구 성남동(모란사거리 부근),자전거사고다발지,2019,37.43344238,127.128648,5,5,0,3,1,1,129.5926014
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 중원구 성남동(모란사거리 부근),자전거사고다발지,2020,37.43364709,127.1288332,9,9,0,4,4,1,141.4676467
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 중원구 성남동(모란사거리 부근),자전거사고다발지,2015,37.43343007,127.1289153,13,13,0,6,7,0,152.735749
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 중원구 성남동(모란사거리 부근),자전거사고다발지,2022,37.43334412,127.1289311,7,7,0,3,4,0,156.6803331
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 중원구 성남동(모란사거리 부근),자전거사고다발지,2018,37.433435,127.129168,8,9,0,4,4,1,174.3392093
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 중원구 성남동(모란삼거리 부근),보행노인사고다발지,2018,37.43302722,127.1290188,8,8,0,3,4,1,177.4027734
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 중원구 성남동(모란삼거리 부근),자전거사고다발지,2021,37.43324575,127.1291803,6,6,0,2,4,0,180.9901481
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 수정구 수진동(모란사거리 부근),보행노인사고다발지,2013,37.43526389,127.1285953,4,4,2,1,1,0,205.1914216
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 중원구 성남동(풍생중고B 부근),자전거사고다발지,2016,37.43366978,127.1299324,8,8,1,4,3,0,238.1428242
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 수정구 수진동(KT모란지점 부근),보행노인사고다발지,2012,37.43555746,127.1287233,3,3,2,1,0,0,238.4945513
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 중원구 성남동(모란삼거리 부근),보행노인사고다발지,2014,37.43300434,127.1297789,7,7,0,2,5,0,239.8036817
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 중원구 성남동(풍생중고B 부근),자전거사고다발지,2012,37.43366075,127.1300395,5,5,0,3,2,0,247.6354837
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 중원구 성남동(성남스포츠클라이밍센터 부근),보행노인사고다발지,2017,37.43154302,127.1282903,10,10,0,6,4,0,264.070142
성수초등학교,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,경기도 성남시 중원구 성남동(모란삼거리 부근),보행노인사고다발지,2015,37.4316957,127.1290787,9,9,0,4,5,0,281.7981729
성체유치원,경기도 성남시 수정구 수진동 664-2,37.439656,127.137203,경기도 성남시 수정구 신흥동(수진역사거리 부근),보행노인사고다발지,2014,37.43828984,127.1391092,5,5,1,4,0,0,226.7163907
성체유치원,경기도 성남시 수정구 수진동 664-2,37.439656,127.137203,경기도 성남시 수정구 수진동(탄리사거리 부근),보행어린이사고다발지,2022,37.44168691,127.1363736,3,3,0,1,2,0,237.4019973
성체유치원,경기도 성남시 수정구 수진동 664-2,37.439656,127.137203,경기도 성남시 수정구 수진동(탄리사거리 부근),보행어린이사고다발지,2022,37.44168691,127.1363736,3,3,0,1,2,0,237.4019973
성체유치원,경기도 성남시 수정구 수진동 664-2,37.439656,127.137203,경기도 성남시 수정구 수진동(탄리사거리 부근),보행어린이사고다발지,2022,37.44168691,127.1363736,3,3,0,1,2,0,237.4019973
성체유치원,경기도 성남시 수정구 수진동 664-2,37.439656,127.137203,경기도 성남시 수정구 수진동(탄리사거리 부근),보행어린이사고다발지,2022,37.44168691,127.1363736,3,3,0,1,2,0,237.4019973
성현어린이집,경기도 성남시 수정구 수진동 1921,37.438454,127.138715,경기도 성남시 수정구 신흥동(수진역사거리 부근),보행노인사고다발지,2014,37.43828984,127.1391092,5,5,1,4,0,0,39.30015445
성현어린이집,경기도 성남시 수정구 수진동 1921,37.438454,127.138715,경기도 성남시 수정구 수진동(수진역사거리 부근),보행노인사고다발지,2015,37.43771649,127.1408353,5,5,1,2,2,0,204.3758826
성현어린이집,경기도 성남시 수정구 수진동 1921,37.438454,127.138715,경기도 성남시 수정구 수진동(수진역사거리 부근),보행노인사고다발지,2013,37.43769922,127.1410841,5,5,0,5,0,0,225.377502
수내동어린이집,경기도 성남시 분당구 수내동 12-3,37.379099,127.114714,경기도 성남시 분당구 수내동(정상제이엘에스 (영재관) 부근),보행노인사고다발지,2015,37.37674883,127.1154868,3,3,0,2,1,0,270.1012266
수내초등학교,경기도 성남시 분당구 수내동 81,37.367765,127.124663,경기도 성남시 분당구 수내동(문옥관전통학원 부근),자전거사고다발지,2015,37.36575408,127.1255206,4,4,0,3,1,0,236.0992475
수진초등학교,경기도 성남시 수정구 태평동 3756,37.444944,127.133465,경기도 성남시 수정구 태평동(태평초교 부근),보행어린이사고다발지,2018,37.44542677,127.1325254,3,3,0,1,2,0,98.8044068
수진초등학교,경기도 성남시 수정구 태평동 3756,37.444944,127.133465,경기도 성남시 수정구 태평동(태평오거리 부근),보행노인사고다발지,2014,37.44580222,127.1347009,4,4,0,3,1,0,144.9522457
수진초등학교,경기도 성남시 수정구 태평동 3756,37.444944,127.133465,경기도 성남시 수정구 태평동(탄리사거리 부근),보행어린이사고다발지,2013,37.44346421,127.1342153,4,4,0,1,3,0,177.3771344
수진초등학교,경기도 성남시 수정구 태평동 3756,37.444944,127.133465,경기도 성남시 수정구 태평동(삼성로얄빌라 부근),보행어린이사고다발지,2012,37.44346655,127.1325953,3,3,0,1,2,0,181.3412108
수진초등학교,경기도 성남시 수정구 태평동 3756,37.444944,127.133465,경기도 성남시 수정구 태평동(태평오거리 부근),보행어린이사고다발지,2014,37.44712695,127.1334233,3,3,0,1,2,0,242.7608789
수진초등학교,경기도 성남시 수정구 태평동 3756,37.444944,127.133465,경기도 성남시 수정구 태평동(한전 사거리 부근),보행어린이사고다발지,2016,37.44472629,127.1301033,4,4,0,0,3,1,297.7632972
신흥성모유치원,경기도 성남시 수정구 신흥동 89,37.449077,127.143242,경기도 성남시 수정구 태평동(금빛초교 부근),보행어린이사고다발지,2016,37.44819862,127.1409687,2,2,1,0,1,0,223.1875303
신흥성모유치원,경기도 성남시 수정구 신흥동 89,37.449077,127.143242,경기도 성남시 수정구 태평동(금빛초교 부근),보행어린이사고다발지,2020,37.4484906,127.1401106,3,3,0,0,3,0,284.0178114
신흥제2어린이집,경기도 성남시 수정구 신흥동 50,37.449202,127.144413,경기도 성남시 수정구 태평동(성남초교 부근),보행어린이사고다발지,2016,37.44678079,127.1454331,3,3,0,1,2,0,283.8877712
신흥제3어린이집,경기도 성남시 수정구 신흥동 4900,37.443531,127.148854,경기도 성남시 중원구 중앙동(토암골옛날막창(중동점) 부근),자전거사고다발지,2014,37.44142189,127.1486115,5,5,0,2,2,1,235.4974988
아름다운유치원,경기도 성남시 분당구 수내동 75,37.367591,127.125773,경기도 성남시 분당구 수내동(문옥관전통학원 부근),자전거사고다발지,2015,37.36575408,127.1255206,4,4,0,3,1,0,205.4705095
아이세상 어린이집,경기도 성남시 수정구 태평동 3660,37.4422,127.134779,경기도 성남시 수정구 수진동(탄리사거리 부근),보행노인사고다발지,2020,37.4419853,127.1345164,2,2,1,0,1,0,33.27807834
아이세상 어린이집,경기도 성남시 수정구 태평동 3660,37.4422,127.134779,경기도 성남시 수정구 수진동(탄리사거리 부근),보행노인사고다발지,2015,37.44190348,127.1349376,11,11,0,8,3,0,35.82147957
아이세상 어린이집,경기도 성남시 수정구 태평동 3660,37.4422,127.134779,경기도 성남시 수정구 태평동(탄리사거리 부근),보행어린이사고다발지,2013,37.44346421,127.1342153,4,4,0,1,3,0,149.122836
