°ü¸®¹øÈ£,À§µµ,°æµµ,Â÷·Î¼ö,Ä«Å×°í¸®
0032-W-0006,37.46724621,126.87995108,4,È¾´Üº¸µµ
0027-W-0003,37.490594003,126.868108422,2,È¾´Üº¸µµ
0027-W-0004,37.490597439,126.868076151,2,È¾´Üº¸µµ
0027-W-0005,37.4906502,126.868068942,2,È¾´Üº¸µµ
0015-W-0014,37.468152876,126.873132703,4,È¾´Üº¸µµ
0015-W-0015,37.468035437,126.873040758,5,È¾´Üº¸µµ
0016-W-0001,37.483047424,126.86383667,2,È¾´Üº¸µµ
0016-W-0002,37.483572215,126.864022778,2,È¾´Üº¸µµ
0016-W-0003,37.484054035,126.864164809,2,È¾´Üº¸µµ
0009-W-0006,37.476916152,126.872876723,3,È¾´Üº¸µµ
0025-W-0001,37.412067398,126.883363321,2,È¾´Üº¸µµ
0025-W-0002,37.41146268,126.882106138,2,È¾´Üº¸µµ
0025-W-0003,37.411504382,126.881908566,2,È¾´Üº¸µµ
0025-W-0004,37.411908348,126.881761519,2,È¾´Üº¸µµ
0025-W-0005,37.411336882,126.881822126,2,È¾´Üº¸µµ
0025-W-0006,37.413467034,126.880781338,4,È¾´Üº¸µµ
0025-W-0007,37.413567063,126.880828311,4,È¾´Üº¸µµ
0025-W-0008,37.413563317,126.880832174,4,È¾´Üº¸µµ
0025-W-0009,37.413660856,126.880884359,4,È¾´Üº¸µµ
0025-W-0010,37.413513022,126.880936758,2,È¾´Üº¸µµ
0025-W-0011,37.413501075,126.881191464,1,È¾´Üº¸µµ
0025-W-0012,37.413405476,126.881245747,2,È¾´Üº¸µµ
0025-W-0013,37.413262912,126.881655343,2,È¾´Üº¸µµ
0025-W-0014,37.413292743,126.88174941,1,È¾´Üº¸µµ
0025-W-0015,37.413206026,126.88181878,2,È¾´Üº¸µµ
0025-W-0016,37.413234127,126.881738044,2,È¾´Üº¸µµ
0025-W-0017,37.413235452,126.881734238,2,È¾´Üº¸µµ
0025-W-0018,37.414169981,126.882271584,2,È¾´Üº¸µµ
0025-W-0019,37.41413014,126.88214431,1,È¾´Üº¸µµ
0025-W-0020,37.414308048,126.88163294,1,È¾´Üº¸µµ
0025-W-0021,37.414347024,126.881761464,2,È¾´Üº¸µµ
0025-W-0023,37.414748319,126.881462381,4,È¾´Üº¸µµ
0025-W-0024,37.415030976,126.881358383,10,È¾´Üº¸µµ
0025-W-0025,37.415150334,126.881710978,6,È¾´Üº¸µµ
0025-W-0026,37.414858967,126.881828992,10,È¾´Üº¸µµ
0025-W-0027,37.413948642,126.884410054,10,È¾´Üº¸µµ
0025-W-0028,37.41359972,126.884798095,6,È¾´Üº¸µµ
0025-W-0029,37.413709846,126.88504146,10,È¾´Üº¸µµ
0025-W-0030,37.41406758,126.884759972,6,È¾´Üº¸µµ
0039-W-0001,37.415431233,126.887513175,4,È¾´Üº¸µµ
0039-W-0002,37.415605989,126.887410957,4,È¾´Üº¸µµ
0039-W-0003,37.415717764,126.887677822,4,È¾´Üº¸µµ
0039-W-0004,37.418103102,126.889032474,4,È¾´Üº¸µµ
0039-W-0005,37.418177705,126.8892804,4,È¾´Üº¸µµ
0039-W-0006,37.418375566,126.889187166,5,È¾´Üº¸µµ
0039-W-0007,37.418285643,126.888947604,4,È¾´Üº¸µµ
0039-W-0008,37.418762645,126.887545953,4,È¾´Üº¸µµ
0049-W-0001,37.431759845,126.877611532,4,È¾´Üº¸µµ
0049-W-0002,37.431719586,126.877704455,3,È¾´Üº¸µµ
0049-W-0003,37.4323684,126.877331102,4,È¾´Üº¸µµ
0049-W-0004,37.432433908,126.877229795,2,È¾´Üº¸µµ
0049-W-0005,37.432557653,126.877316491,3,È¾´Üº¸µµ
0049-W-0006,37.432558779,126.877227918,1,È¾´Üº¸µµ
