,안전시설명,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
767,(분당)라이프마트,,경기도 성남시 분당구 분당동 34번지 샛별마을라이프아파트,37.3741546863,127.1302055303,S
768,(분당)부연정육점,,경기도 성남시 분당구 분당동 39번지 샛별마을삼부아파트,37.3703315107,127.1297838339,S
769,(분당)GS25 분당샛별마을점,,경기도 성남시 분당구 분당동 39번지 샛별마을삼부아파트,37.3703315107,127.1297838339,S
770,(분당)분당우리약국,경기도 성남시 분당구 장안로 27,경기도 성남시 분당구 분당동 90-6번지,37.3697306265,127.1424923521,S
771,(분당)삼평동우체국,경기도 성남시 분당구 동판교로266번길 20,경기도 성남시 분당구 삼평동 715번지 삼평동우체국,37.406478349,127.1161372282,S
772,(분당)CU 동판교골드점,,경기도 성남시 분당구 삼평동 728번지 봇들마을6단지아파트 제4상가동 101호,37.4003675333,127.1190833939,S
773,(분당)CU 판교월드마크점,경기도 성남시 분당구 대왕판교로606번길 58,경기도 성남시 분당구 삼평동 741번지,37.3954464194,127.1136515168,S
774,(분당)분당우체국,경기도 성남시 분당구 황새울로 347,경기도 성남시 분당구 서현동 257번지,37.3868871926,127.1232296048,S
775,(분당)삼성스토어,경기도 성남시 분당구 황새울로311번길 28,경기도 성남시 분당구 서현동 275번지,37.3860224815,127.1206018998,S
776,(분당)중앙약국,경기도 성남시 분당구 돌마로 478,경기도 성남시 분당구 서현동 298-3번지,37.37699514,127.1334558181,S
777,(분당)엄마약국,경기도 성남시 분당구 불정로 379,경기도 성남시 분당구 서현동 305-2번지,37.3743722468,127.1364164543,S
778,(분당)다원반찬,,경기도 성남시 분당구 서현동 307번지 효자촌미래타운아파트,37.3730515676,127.1378346204,S
779,(분당)서현2동우체국,경기도 성남시 분당구 분당로263번길 49,경기도 성남시 분당구 서현동 313번지,37.3725563056,127.1409542173,S
780,(분당)서현1동우체국,경기도 성남시 분당구 중앙공원로39번길 31,경기도 성남시 분당구 서현동 89-2번지,37.3827327069,127.1263454361,S
781,(분당)피자스쿨 분당서현점,경기도 성남시 분당구 중앙공원로39번길 7,경기도 성남시 분당구 서현동 89-7번지,37.3814308548,127.1279784602,S
782,(분당)올림픽스포츠센터,경기도 성남시 분당구 중앙공원로 35,경기도 성남시 분당구 서현동 90번지,37.3808832226,127.1286814868,S
783,남건우 명품세탁소(현대세탁소),,경기도 성남시 분당구 서현동 92번지 현대아파트,37.3761122407,127.1307041855,S
784,(분당)정문약국,경기도 성남시 분당구 중앙공원로40번길 42,경기도 성남시 분당구 서현동 94-3번지,37.3781816137,127.1323770093,S
785,(분당)안경박사 초림점,,경기도 성남시 분당구 수내동 32번지 양지마을금호아파트,37.3759788963,127.1171172326,S
