시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,교통섬유무,점자블록유무,집중조명시설유무
성남시 분당구,서현로,,경기도 성남시 분당구 서현동 283-1,분당-75,1,N,37.384277,127.128695,8,8.0,26.0,Y,N,Y,N
성남시 분당구,서현로,"경기도 성남시 분당구 중앙공원로 54 (서현동, 시범단지우성아파트)",경기도 성남시 분당구 서현동 96,분당-76,1,N,37.381176,127.130339,6,8.0,20.0,Y,N,Y,N
성남시 분당구,서현로,,경기도 성남시 분당구 서현동 346-3,분당-77,1,N,37.377022,127.138411,8,8.0,26.0,Y,N,Y,Y
성남시 분당구,서현로,,경기도 성남시 분당구 서현동 345-2,분당-78,1,N,37.374669,127.141347,8,8.0,26.0,Y,N,Y,Y
성남시 분당구,서현로,경기도 성남시 분당구 장안로 70 (분당동),경기도 성남시 분당구 분당동 114,분당-79,1,N,37.371421,127.146686,5,8.0,17.0,Y,N,Y,N
성남시 분당구,서현로,,경기도 성남시 분당구 분당동 195-1,분당-80,1,N,37.370254,127.14754,7,8.0,23.0,Y,N,Y,Y
성남시 분당구,서현로,경기도 성남시 분당구 서현로 498 (분당동),경기도 성남시 분당구 분당동 132,분당-81,1,N,37.369518,127.147845,8,8.0,26.0,Y,N,Y,N
성남시 분당구,분당로,,경기도 성남시 분당구 서현동 288-2,분당-82,1,N,37.388776,127.11893,8,8.0,26.0,Y,Y,Y,Y
성남시 분당구,분당로,경기도 성남시 분당구 분당로 23 (서현동),경기도 성남시 분당구 서현동 277,분당-83,1,N,37.3853,127.118804,9,8.0,29.0,Y,N,Y,N
성남시 분당구,분당로,,경기도 성남시 분당구 서현동 267-3,분당-84,1,N,37.384071,127.120268,9,8.0,29.0,Y,N,Y,N
성남시 분당구,분당로,,경기도 성남시 분당구 서현동 266-2,분당-85,1,N,37.383055,127.121484,6,8.0,20.0,Y,N,Y,N
성남시 분당구,분당로,,경기도 성남시 분당구 서현동 289-2,분당-86,1,N,37.377316,127.133374,7,8.0,23.0,Y,N,Y,N
성남시 분당구,분당로,경기도 성남시 분당구 분당로 196 (분당동),경기도 성남시 분당구 분당동 36,분당-87,1,N,37.373689,127.131262,6,8.0,20.0,Y,N,Y,Y
성남시 분당구,분당로,"경기도 성남시 분당구 불정로 361 (서현동, 효자촌삼환아파트)",경기도 성남시 분당구 서현동 301,분당-88,1,N,37.373813,127.13328,8,8.0,26.0,Y,N,Y,Y
성남시 분당구,분당로,경기도 성남시 분당구 분당로 271 (분당동),경기도 성남시 분당구 분당동 72,분당-89,1,N,37.369458,127.138148,6,8.0,20.0,Y,N,Y,N
