무인교통단속카메라관리번호,도로종류,도로노선번호,도로노선명,소재지지번주소,위도,경도,설치장소,설치연도
중원상대원2-D-2,기타,,희망로,경기도 성남시 중원구 상대원2동 3154-1,37.4392,127.158771,상대원2파출소 주변,2022
중원상대원3-D-1,기타,,금상로,경기도 성남시 중원구 상대원동 2339,37.440165,127.162594,성남농협 대원지점,2006
중원하대원-D-1,기타,,제일로,경기도 성남시 중원구 하대원동 110-8,37.42901,127.137229,중원구청사거리,2006
중원하대원-D-2,기타,,둔촌대로,경기도 성남시 중원구 하대원동 143-1,37.42875,127.148891,성남테크노과학고,2006
중원하대원-D-3,기타,,둔촌대로,경기도 성남시 중원구 하대원동 235-2,37.431329,127.15728,"중상60,63주차장",2008
중원하대원-D-4,기타,,둔촌대로,경기도 성남시 중원구 하대원동 249,37.429078,127.149759,둔촌공원,2008
중원하대원-D-5,일반국도,3번,성남대로,경기도 성남시 중원구 하대원동 100-3,37.42867,127.130181,여수사거리,2019
중원하대원-D-6,기타,,마지로,경기도 성남시 중원구 하대원동 19,37.428222,127.131416,하나님의교회 앞,2022
중원하대원-D-7,기타,,마지로,경기도 성남시 중원구 하대원동 105-5,37.42841,127.1357,성광교회 앞,2023
중원하대원-A-15,기타,,원터로,경기도 성남시 중원구 하대원동 123,37.429483,127.144034,검단초등학교 주변,2014
중원하대원-A-22,기타,,시민로,경기도 성남시 중원구 하대원동 167-2,37.43114,127.15121,대하초등학교 정문,2021
중원도촌-D-1,일반국도,3번,성남대로,경기도 성남시 중원구 여수동 219,37.418578,127.12554,시청 출입구 앞,2016
중원도촌-D-2,일반국도,3번,성남대로,경기도 성남시 중원구 여수동 181,37.418557,127.127423,시청 앞,2016
중원도촌-D-5,일반국도,3번,성남대로,경기도 성남시 중원구 여수동 185,37.418003,127.128187,야탑사거리,2016
중원도촌-D-6,기타,,양현로,경기도 성남시 중원구 여수동 189,37.417132,127.127783,성남스마트캐슬,2016
중원도촌-D-7,일반국도,3번,성남대로,경기도 성남시 중원구 여수동 309,37.41706,127.12574,야탑초등학교,2016
중원도촌-D-8,일반국도,3번,성남대로,경기도 성남시 중원구 여수동 247,37.417938,127.124767,여수동제1공영주차장,2016
중원도촌-D-9,기타,,여수울로,경기도 성남시 중원구 여수동 425,37.418953,127.132091,하나빌딩,2016
