연번,위도,경도,보호구역아이디,시군구명,대상시설명,관할경찰서명,데이터기준일자
135,37.409471,127.129491,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
136,37.409748,127.129678,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
137,37.409738,127.129836,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
138,37.409977,127.130139,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
139,37.409679,127.130649,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
140,37.409668,127.130751,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
141,37.409685,127.129496,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
142,37.349621,127.115907,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
143,37.349542,127.115907,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
144,37.348909,127.116078,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
145,37.348761,127.115909,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
146,37.348459,127.115909,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
147,37.348317,127.115909,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
148,37.348121,127.116078,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
149,37.348088,127.115909,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
150,37.347426,127.115909,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
151,37.346825,127.115911,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
152,37.346617,127.116843,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
153,37.371172,127.111834,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
154,37.371326,127.111905,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
