연번,위도,경도,보호구역아이디,시군구명,대상시설명,관할경찰서명,데이터기준일자
197,37.393472,127.099507,성남-01-019,성남시 분당구,낙생초등학교,분당경찰서,2022-08-25
198,37.386344,127.111681,성남-01-020,성남시 분당구,신백현초등학교,분당경찰서,2022-08-11
199,37.387856,127.110607,성남-01-020,성남시 분당구,신백현초등학교,분당경찰서,2022-08-11
200,37.388005,127.111184,성남-01-020,성남시 분당구,신백현초등학교,분당경찰서,2022-08-11
201,37.388045,127.111647,성남-01-020,성남시 분당구,신백현초등학교,분당경찰서,2022-08-11
202,37.387617,127.111355,성남-01-020,성남시 분당구,신백현초등학교,분당경찰서,2022-08-11
203,37.387223,127.111352,성남-01-020,성남시 분당구,신백현초등학교,분당경찰서,2022-08-11
204,37.386831,127.111357,성남-01-020,성남시 분당구,신백현초등학교,분당경찰서,2022-08-11
205,37.390771,127.116731,성남-01-021,성남시 분당구,성남화랑초등학교,분당경찰서,2022-08-29
206,37.390249,127.116902,성남-01-021,성남시 분당구,성남화랑초등학교,분당경찰서,2022-08-29
207,37.388771,127.116352,성남-01-021,성남시 분당구,성남화랑초등학교,분당경찰서,2022-08-29
208,37.388129,127.115406,성남-01-021,성남시 분당구,성남화랑초등학교,분당경찰서,2022-08-29
209,37.388498,127.115835,성남-01-021,성남시 분당구,성남화랑초등학교,분당경찰서,2022-08-29
210,37.389304,127.116545,성남-01-021,성남시 분당구,성남화랑초등학교,분당경찰서,2022-08-29
211,37.387838,127.113249,성남-01-021,성남시 분당구,성남화랑초등학교,분당경찰서,2022-08-29
212,37.461698,127.170648,성남-01-022,성남시 중원구,성남은행초등학교,성남중원경찰서,2022-08-04
213,37.461474,127.170936,성남-01-022,성남시 중원구,성남은행초등학교,성남중원경찰서,2022-08-04
214,37.460756,127.170652,성남-01-022,성남시 중원구,성남은행초등학교,성남중원경찰서,2022-08-04
215,37.460277,127.170074,성남-01-022,성남시 중원구,성남은행초등학교,성남중원경찰서,2022-08-04
216,37.460255,127.169984,성남-01-022,성남시 중원구,성남은행초등학교,성남중원경찰서,2022-08-04
217,37.459946,127.169623,성남-01-022,성남시 중원구,성남은행초등학교,성남중원경찰서,2022-08-04
218,37.460586,127.169136,성남-01-022,성남시 중원구,성남은행초등학교,성남중원경찰서,2022-08-04
219,37.460036,127.168388,성남-01-022,성남시 중원구,성남은행초등학교,성남중원경찰서,2022-08-04
220,37.460749,127.169092,성남-01-022,성남시 중원구,성남은행초등학교,성남중원경찰서,2022-08-04
221,37.461131,127.169862,성남-01-022,성남시 중원구,성남은행초등학교,성남중원경찰서,2022-08-04
222,37.436457,127.141798,성남-01-023,성남시 중원구,성남중앙초등학교,성남중원경찰서,2022-08-26
223,37.436881,127.142274,성남-01-023,성남시 중원구,성남중앙초등학교,성남중원경찰서,2022-08-26
224,37.436604,127.143612,성남-01-023,성남시 중원구,성남중앙초등학교,성남중원경찰서,2022-08-26
225,37.436418,127.143002,성남-01-023,성남시 중원구,성남중앙초등학교,성남중원경찰서,2022-08-26
226,37.436322,127.142281,성남-01-023,성남시 중원구,성남중앙초등학교,성남중원경찰서,2022-08-26
227,37.435695,127.142811,성남-01-023,성남시 중원구,성남중앙초등학교,성남중원경찰서,2022-08-26
228,37.435442,127.143481,성남-01-023,성남시 중원구,성남중앙초등학교,성남중원경찰서,2022-08-26
229,37.435038,127.141719,성남-01-023,성남시 중원구,성남중앙초등학교,성남중원경찰서,2022-08-26
230,37.435724,127.141128,성남-01-023,성남시 중원구,성남중앙초등학교,성남중원경찰서,2022-08-26
231,37.441371,127.161721,성남-01-024,성남시 중원구,단남초등학교,성남중원경찰서,2022-08-22
232,37.441175,127.161188,성남-01-024,성남시 중원구,단남초등학교,성남중원경찰서,2022-08-22
233,37.441939,127.162263,성남-01-024,성남시 중원구,단남초등학교,성남중원경찰서,2022-08-22
234,37.442348,127.161651,성남-01-024,성남시 중원구,단남초등학교,성남중원경찰서,2022-08-22
235,37.442086,127.160951,성남-01-024,성남시 중원구,단남초등학교,성남중원경찰서,2022-08-22
236,37.441777,127.161098,성남-01-024,성남시 중원구,단남초등학교,성남중원경찰서,2022-08-22
237,37.442541,127.160685,성남-01-024,성남시 중원구,단남초등학교,성남중원경찰서,2022-08-22
238,37.442401,127.159711,성남-01-024,성남시 중원구,단남초등학교,성남중원경찰서,2022-08-22
239,37.440596,127.159842,성남-01-024,성남시 중원구,단남초등학교,성남중원경찰서,2022-08-22
240,37.441562,127.159928,성남-01-024,성남시 중원구,단남초등학교,성남중원경찰서,2022-08-22
241,37.442319,127.159457,성남-01-024,성남시 중원구,단남초등학교,성남중원경찰서,2022-08-22
242,37.436434,127.155152,성남-01-025,성남시 중원구,대원초등학교,성남중원경찰서,2022-08-31
243,37.437319,127.156945,성남-01-025,성남시 중원구,대원초등학교,성남중원경찰서,2022-08-31
244,37.437344,127.155321,성남-01-025,성남시 중원구,대원초등학교,성남중원경찰서,2022-08-31
245,37.437357,127.154111,성남-01-025,성남시 중원구,대원초등학교,성남중원경찰서,2022-08-31
246,37.439016,127.164619,성남-01-026,성남시 중원구,대일초등학교,성남중원경찰서,2022-08-11
247,37.438501,127.163076,성남-01-026,성남시 중원구,대일초등학교,성남중원경찰서,2022-08-11
248,37.431326,127.151082,성남-01-027,성남시 중원구,대하초등학교,성남중원경찰서,2022-09-01
249,37.432893,127.150456,성남-01-027,성남시 중원구,대하초등학교,성남중원경찰서,2022-09-01
250,37.430806,127.151412,성남-01-027,성남시 중원구,대하초등학교,성남중원경찰서,2022-09-01
251,37.430783,127.151813,성남-01-027,성남시 중원구,대하초등학교,성남중원경찰서,2022-09-01
252,37.430985,127.152141,성남-01-027,성남시 중원구,대하초등학교,성남중원경찰서,2022-09-01
253,37.430552,127.152307,성남-01-027,성남시 중원구,대하초등학교,성남중원경찰서,2022-09-01
254,37.430971,127.152548,성남-01-027,성남시 중원구,대하초등학교,성남중원경찰서,2022-09-01
255,37.430499,127.151521,성남-01-027,성남시 중원구,대하초등학교,성남중원경찰서,2022-09-01
256,37.436767,127.146986,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
257,37.436751,127.147011,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
258,37.436922,127.147376,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
259,37.437189,127.147958,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
260,37.437164,127.147975,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
261,37.437488,127.148688,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
262,37.437445,127.148716,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
263,37.437084,127.148947,성남-01-028,성남시 중원구,성남제일초등학교,성남중원경찰서,2022-08-31
