종류,시설명,지정년월,권역,지역,리,도로명주소,데이터기준일자
초등학교,화성반월초등학교,2015-03-09,병점구,반월동,,화성시 병점구 효행로 1281-23,2026-02-01
어린이집,병점뉴질랜드어린이집,2016-05-20,병점구,병점동,,화성시 병점구 병점로 18-1 2동 2호,2026-02-01
초등학교,서경초등학교,2020-02-27,병점구,기산동,,화성시 병점구 동탄지성로 265,2026-02-01
유치원,예원유치원,2003-11-06,동탄구,능동,,화성시 동탄구 동탄숲속로 35번길 26-14,2026-02-01
유치원,동탄이화유치원,2003-11-06,동탄구,능동,,화성시 동탄구 동탄숲속로35번길 2-9,2026-02-01
초등학교,새봄초등학교,2021-03-12,병점구,병점동,,화성시 병점구 병점노을로 19,2026-02-01
유치원,새봄유치원,2021-03-12,동탄구,능동,,화성시 동탄구 서동탄로 28,2026-02-01
어린이집,진안어린이집,2021-11-12,병점구,진안동,,화성시 병점구 병점동로148번길 12,2026-02-01
어린이집,으뜸어린이집,2022-02-07,병점구,송산동,,화성시 병점구 용주로12번길 18,2026-02-01
초등학교,화성바른초등학교,2025-08-18,동탄구,신동,,화성시 동탄구 동탄신동5길 7,2026-02-01
초등학교,현민초등학교,2025-08-18,동탄구,신동,,화성시 동탄구 동탄신리천로3길 11,2026-02-01
